Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Longstaff,Newcastle United,Colchester United,"RCMF, LCMF, LDMF",23,1500000,2023-06-30,7,455,0,0.41,0,0.41,18.4,51.61,England,England,right,171,65,no,8.7,7.52,60.53,4.75,50,0.2,0.36,0,3.96,7.14,1.38,2,0.4,0,0,1.38,0,0,0,0.08,0,0,2,0.4,50,0,0,1.78,22.22,0.4,50,1.38,14.29,0,0.79,75,3.16,56.25,1.78,0.2,0,22.55,0.79,1.19,36.4,75.54,12.07,60.66,7.32,91.89,12.07,83.61,29.67,81.33,4.95,60,17.61,21.35,0.08,0.59,0,0,0.4,50,0.2,6.33,59.38,2.18,27.27,0.99,20,0.4,0.4,6.92,68.57,0,,0,,0,0,0,0,,,0,,,0.79,0,0,3.36,0,0
A. Judge,Colchester United,Colchester United,"RCMF, RDMF, LCMF",34,800000,2023-06-30,13,886,0,0.97,2,1.33,15.34,46.36,Republic of Ireland,Republic of Ireland,right,169,70,no,7.62,6.09,56.67,2.74,37.04,0.61,0.97,0.3,3.56,5.65,1.12,0,0,0,0,1.02,0,0,0,0.1,0,0,14,1.42,35.71,0,0.2,1.12,18.18,0.3,33.33,0.81,12.5,0.3,0.91,11.11,2.95,34.48,0.91,0.1,0,16.05,0.2,1.22,31.69,73.4,11.17,51.82,7.01,92.75,9.35,80.43,23.57,85.34,7.01,42.03,21,39.29,0.14,1.12,0,0.1,0.51,40,0.41,6.91,45.59,2.23,31.82,1.52,40,0.51,0.2,4.57,66.67,0,,0,,0,0,0,0,,,0.71,,,2.44,0.2,0,2.23,0,0
E. Galbraith,Salford City,Salford City,"AMF, RCMF",21,600000,2023-06-30,32,2511,4,2.21,2,1.56,17.96,38.12,Northern Ireland,Northern Ireland,right,175,67,yes,5.13,4.87,46.32,3.19,40.45,0.18,0.27,0.04,2.69,4.07,0.9,10,0.36,0,0,2.11,0.14,4,0.14,0.08,0,0,38,1.36,34.21,10.526,0.07,1,53.57,0.22,50,0.79,54.55,0.07,1.9,47.17,7.42,34.3,0.72,1.11,1,27.81,1.11,1.43,41.11,82.56,12.4,62.72,7.63,95.77,14.66,91.44,35.45,86.96,4.73,55.3,18.28,33.24,0.06,0.54,0.04,0.07,0.5,42.86,0.32,6.24,63.79,2.08,51.72,1.18,39.39,0.68,0.5,6.95,74.23,0,,0,,0,0,0,0,,,0.04,,,0.07,0,0,0.29,0,0
M. Jay,Colchester United,Colchester United,"AMF, LCMF",27,450000,2025-06-30,18,930,0,1.07,1,1.33,15.68,35.8,England,England,right,178,69,no,4.06,3.39,57.14,2.71,21.43,0,0,0.1,2.13,3.53,0.19,1,0.1,0,0,2.81,0,0,0,0.1,0,0,18,1.74,33.33,0,0.1,1.06,45.45,0.58,33.33,0.39,75,0.29,2.81,55.17,6.58,39.71,1.74,0.87,0.68,14.13,0.68,0.77,24.87,73.15,8.81,54.95,4.26,88.64,6.87,87.32,21,76.96,2.81,55.17,17.72,27.35,0.13,0.77,0,0.1,0.58,33.33,0.39,3.58,62.16,1.94,50,0.68,28.57,0.58,0.48,5.42,67.86,0,,0,,0,0,0,0,,,0.1,,,0.29,0.1,0,0.97,0,0
S. O'Keefe,Gillingham,Gillingham,"LCMF, RCMF",32,400000,2023-06-30,20,1307,0,0.55,0,0.2,14.87,48.61,England,England,right,173,64,no,6.75,5.92,53.49,3.1,40,0.69,1.03,0.28,2.89,4.33,1.31,3,0.21,0,0,0.69,0,0,0,0.04,0,0,6,0.41,33.33,0,0,0.41,16.67,0.07,0,0.28,25,0.14,0.96,50,3.31,47.92,0.62,0.28,0.21,12.05,0,1.45,23.27,81.66,6.95,61.39,5.3,94.81,6.68,86.6,20.8,86.09,2.13,51.61,16.78,26.17,0.01,0.34,0,0,0.14,0,0.07,3.99,56.9,0.83,41.67,0.14,0,0.34,0.07,3.1,60,0,,0,,0,0,0,0,,,0.55,,,0,0,0,0,0,0
D. Wright-Phillips,Northampton Town,Northampton Town,"AMF, RW, LW",21,400000,2024-06-30,7,153,0,0.53,0,0,28.24,29.17,England,"England, Grenada",right,170,62,yes,4.71,5.29,66.67,7.06,25,0,0,0,1.18,2.86,0,0,0,0,0,1.76,0,0,0,0.31,0,0,4,2.35,25,0,0,2.94,0,0,0,2.94,0,0,6.47,18.18,11.18,21.05,5.88,2.94,1.76,11.76,1.76,1.18,16.47,71.43,1.76,66.67,3.53,83.33,4.71,62.5,13.53,86.96,0.59,0,16.16,8.37,0,0,0,0,0,0,0,0.59,100,1.76,33.33,0,0,1.18,0,0.59,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Skuse,Colchester United,Colchester United,"LCMF, RCMF, RDMF",37,400000,2023-06-30,27,1952,1,0.68,0,0.14,11.8,58.98,England,England,right,185,72,no,7.61,4.89,63.21,3.46,60,0.28,0.43,0.23,4.24,6.54,0.46,2,0.09,0,0,0.32,0.05,1,0.05,0.03,0,0,5,0.23,60,20,0,0.32,28.57,0.18,25,0.14,33.33,0.09,0.14,66.67,1.24,51.85,0.28,0.14,0.05,16.6,0.23,0.55,33.34,84.79,10.79,67.52,5.76,96,12.96,93.24,29.51,89.06,3.5,53.95,19.88,36.95,0.01,0.09,0.09,0,0.05,0,0,5.44,71.19,0.74,37.5,0.23,40,0.18,0.14,4.29,59.14,0,,0,,0,0,0,0,,,0.97,,,0,0,0,0.09,0,0
J. Mutch,Crawley Town,Crawley Town,"RCMF, AMF",31,350000,2023-06-30,4,257,1,0.47,0,0.27,32.57,41.94,England,England,right,188,82,no,11.91,6.65,73.68,11.91,35.29,1.05,1.7,0.35,5.95,9.62,0.7,1,0.35,0,0,1.05,0.35,1,0.35,0.17,0,0,3,1.05,33.33,33.333,0,0,0,0,0,0,0,0,1.4,50,7.35,23.81,1.4,0,0,12.26,0.35,2.8,32.57,66.67,18.56,56.6,4.55,84.62,6.65,78.95,25.21,76.39,7.35,33.33,16.68,29.62,0.1,0.7,0,0.35,0,0,0.7,9.11,50,1.4,0,2.1,16.67,0.7,0,5.25,66.67,0,,0,,0,0,0,0,,,0.35,,,0,0,0,0,0,0
C. Camps,Stockport County,Stockport County,"RCMF, DMF, LCMF",27,350000,2025-06-30,34,2251,4,3.6,2,1.44,18.35,47.28,England,"England, Northern Ireland",right,180,75,no,6.4,5.32,58.65,3.16,49.37,0.24,0.38,0.28,3.04,4.79,1,1,0.04,1,0.04,1.96,0.16,3,0.12,0.14,0,0,41,1.64,34.15,9.756,0.08,1.44,27.78,0.4,40,1.04,23.08,0.08,1.88,53.19,6.24,41.67,1.12,1.16,0.4,14.83,0.32,1.36,31.39,76.56,9.88,57.89,6.16,92.86,9.36,84.62,26.19,83.21,3.8,48.42,18.18,29.3,0.06,0.56,0.08,0,0.28,0,0.24,4.44,57.66,1.88,29.79,0.48,8.33,0.4,0.4,4.48,68.75,0,,0,,0,0,0,0,,,0.56,,,0.28,0.16,25,0.12,2,50
J. Walker,Bradford City,Bradford City,AMF,29,350000,2023-06-30,24,2001,4,4.03,0,1.67,27.3,43.33,Scotland,Scotland,right,175,70,no,8.23,6.07,57.78,4.59,31.37,0.54,0.9,0.22,4.18,7.01,1.48,5,0.22,1,0.04,3.96,0.18,4,0.18,0.18,0,0,49,2.2,30.61,8.163,0,2.11,42.55,0.58,38.46,1.53,44.12,0.22,4.14,53.26,12.05,44.03,2.74,2.52,1.26,18.71,0.99,2.97,32.92,79.37,9.49,68.72,7.38,92.07,10.48,84.12,28.92,83.98,1.98,47.73,17.55,21.28,0.08,0.85,0.04,0,0.36,50,0.49,3.82,68.24,2.29,60.78,0.36,25,0.85,0.9,4.68,71.15,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0.04,0,0
