Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
João Pedro,Watford,Watford,"AMF, CF",21,24000000,2028-06-30,35,3041,11,8.4,3,2.57,31.16,41.69,Brazil,Brazil,right,182,70,no,5.45,5.03,54.12,4.08,47.1,0.09,0.13,0.12,2.63,3.98,1.12,7,0.21,0,0,6.04,0.33,10,0.3,0.25,2,0.06,77,2.28,36.36,14.286,0.09,1.98,31.34,1.39,36.17,0.56,21.05,0.36,7.67,52.12,17.73,40.07,2.93,3.58,1.15,24.39,1.42,2.28,36.28,76.02,10.3,62.07,8.88,92.67,9.59,76.54,31.96,80.65,2.46,49.4,16.62,31.76,0.08,0.89,0.03,0.09,1.69,35.09,0.59,5.06,63.16,3.79,50.78,2.28,33.77,1.66,0.62,5,81.66,0,,0,,0,0,0,0,,,0.15,,,0.41,0.12,0,0.92,1,100
S. Berge,Sheffield United,Sheffield United,RCMF,25,18000000,2024-06-30,37,3389,6,4.46,3,2.43,18.19,54.6,Norway,Norway,right,195,96,no,6.64,5.18,69.74,3,52.21,0,0,0.35,3.03,4.41,0.8,4,0.11,0,0,3.93,0.16,6,0.16,0.12,0,0,52,1.38,28.85,11.538,0.08,2.5,34.04,0.24,44.44,2.2,32.53,0.53,3.9,63.95,7.49,49.65,2.39,2.23,0.66,23.64,0.37,0.5,35.98,82.58,9.19,75.43,6.83,90.66,13.7,87.6,31.39,87.99,2.15,60.49,18.46,31,0.06,0.72,0.03,0.05,0.37,50,0.45,4.67,82.95,2.55,62.5,0.37,50,1.01,0.85,5.47,74.76,0,,0,,0,0,0,0,,,0.32,,,0.03,0.03,0,0,0,0
J. Brownhill,Burnley,Burnley,"AMF, RCMF, LDMF",27,15000000,2024-06-30,41,3878,7,4.86,8,6.27,15.41,48.8,England,England,right,180,69,no,7.43,5.87,58.5,3.23,51.08,0.79,1.44,0.05,3.2,5.83,1.49,9,0.21,0,0,1.69,0.16,7,0.16,0.11,0,0,55,1.28,40,12.727,0.19,1.11,43.75,0.49,28.57,0.63,55.56,0.05,0.88,44.74,3.32,34.97,2.51,0.97,0.35,31.19,1.07,0.44,43.4,84.97,11.05,70.38,12.39,96.44,11.7,87.3,39.76,88.85,2.6,41.07,15.97,28.48,0.15,1.3,0.09,0.05,0.7,43.33,0.46,4.13,69.1,1.9,58.54,0.7,36.67,0.91,0.46,4.22,71.43,0,,0,,0,0,0,0,,,0.6,,,0.81,0.16,28.57,2.95,0,0
A. Scott,Bristol City,Bristol City,"AMF, LCMF",19,14000000,2025-06-30,42,3643,1,1.47,5,2.76,25.2,47.65,Guernsey,"Guernsey, England",right,178,69,no,8.6,7.44,57.81,4.3,34.48,0.49,0.68,0.15,3.8,5.23,1.28,10,0.25,0,0,3.16,0.02,1,0.02,0.04,0,0,35,0.86,34.29,2.857,0.12,1.28,30.77,0.72,31.03,0.54,31.82,0.12,3.68,63.09,9.29,49.73,1.16,1.68,0.47,20.28,0.49,2.35,33.7,81.01,8.94,62.98,8.87,95.26,10.13,84.15,29.52,85.86,2.99,52.89,18.05,35.18,0.07,0.59,0.02,0.02,0.52,28.57,0.35,4.6,64.52,1.95,48.1,0.72,24.14,0.69,0.44,4.74,71.88,0,,0,,0,0,0,0,,,0.32,,,0.79,0.15,16.67,1.06,0,0
A. Diallo,Sunderland,Sunderland,"AMF, RAMF, CF",20,13000000,2025-06-30,38,2924,14,9.08,3,3,20.96,43.76,Côte d'Ivoire,"Côte d'Ivoire, Italy",left,173,72,yes,5.02,4.28,69.06,1.45,25.53,0.06,0.1,0.09,2,3.2,0.34,4,0.12,0,0,3.82,0.43,11,0.34,0.28,0,0,69,2.12,42.03,20.29,0.09,0.8,23.08,0.09,33.33,0.68,22.73,0.06,5.54,42.78,12.59,36.67,3.2,2.86,1.35,30.81,1.39,1.66,41.58,88.23,9.2,84.28,11.73,92.13,10.37,89.61,39.4,90.47,1.45,61.7,15.22,28.33,0.09,0.86,0.12,0,0.62,60,0.46,4.22,86.13,1.72,71.43,0.52,35.29,1.82,0.22,3.6,78.63,0,,0,,0,0,0,0,,,0.18,,,0.25,0.15,60,0.46,3,100
I. Chair,Queens Park Rangers,Queens Park Rangers,"AMF, LW, LWF",25,10000000,2025-06-30,40,3511,5,7.42,8,9.9,18.66,42.45,Belgium,"Belgium, Morocco",right,158,53,no,4.2,3.36,58.02,1.05,21.95,0.08,0.11,0,2.18,3.02,0.59,2,0.05,0,0,6.92,0.13,5,0.13,0.19,0,0,99,2.54,32.32,5.051,0.21,4.2,32.32,2.9,34.51,1.28,26,0.77,7.87,54.72,12.33,43.04,2.79,3.33,1.77,26.12,0.95,0.54,37.27,79.09,9.31,71.07,9.38,93.99,11.33,74.21,30.63,87.53,2.59,53.47,17.6,37.1,0.25,2.18,0.08,0,1.03,42.5,0.64,4.87,70.53,4.31,49.4,1.28,44,1.38,1.38,5.79,80.09,0,,0,,0,0,0,0,,,0.08,,,2,0.36,57.14,3.31,1,0
I. Louza,Watford,Watford,"LCMF, LDMF",24,9000000,2028-06-30,21,1592,5,2.39,3,2.97,19.39,40.52,France,"France, Morocco",left,178,65,no,8.31,7.86,48.92,2.15,50,0.85,1.25,0.06,3.62,5.33,1.75,7,0.4,0,0,2.09,0.28,5,0.28,0.14,0,0,24,1.36,54.17,20.833,0.17,1.41,32,0.73,30.77,0.68,33.33,0.34,1.58,42.86,5.54,33.67,1.13,1.19,0.51,39.69,0.73,0.9,53.71,86.21,18.32,76.85,9.1,94.41,16.56,90.78,46.13,91.18,6.28,61.26,18.21,36.38,0.17,1.53,0.06,0.06,0.57,40,0.4,8.37,76.35,2.6,43.48,1.3,47.83,0.9,0.4,8.76,83.23,0,,0,,0,0,0,0,,,0.23,,,1.92,0.17,66.67,3.9,1,0
C. Patino,Blackpool,Blackpool,"LCMF, LDMF",19,8000000,2023-05-31,34,2657,2,0.86,4,2.4,20.53,51.49,England,"England, Spain",left,182,71,yes,11.14,7.05,59.62,3.93,50,1.63,2.19,0.3,5.32,7.17,1.59,9,0.3,1,0.03,2.07,0.07,2,0.07,0.03,0,0,15,0.51,26.67,13.333,0.14,0.91,33.33,0.58,29.41,0.34,40,0.14,2.51,60.81,6.1,53.89,0.58,0.81,0.27,20.49,0.27,1.96,35.53,74.83,13.96,60.68,5.32,92.36,10.7,81.96,29.27,81.48,5.39,45.28,19.48,39.94,0.08,0.71,0,0,0.24,42.86,0.24,6.91,57.35,1.69,44,0.85,24,0.44,0.3,6.74,67.84,0,,0,,0,0,0,0,,,0.51,,,0.51,0,0,1.32,0,0
H. Mejbri,Birmingham City,Birmingham City,"LCMF, RCMF, AMF",20,8000000,2026-06-30,38,2131,1,1.53,3,5.11,24.41,40.31,France,"France, Tunisia",right,177,70,yes,7.26,6.88,51.53,1.94,17.39,0.55,0.77,0,3.17,4.45,1.94,10,0.42,0,0,2.87,0.04,1,0.04,0.06,0,0,14,0.59,35.71,7.143,0.13,1.73,34.15,0.63,40,1.1,30.77,0.38,3.46,56.1,10.94,39,1.14,1.69,0.76,16.94,0.63,2.2,27.16,73.56,7.35,55.75,5.36,90.55,8.7,79.13,23.36,79.39,2.15,39.22,18.24,28.87,0.22,1.35,0.04,0,0.72,17.65,0.42,3.72,61.36,2.41,42.11,0.97,17.39,0.63,0.59,4.35,66.99,0,,0,,0,0,0,0,,,0.42,,,1.86,0.21,40,2.32,0,0
M. Grimes,Swansea City,Swansea City,"LCMF, DMF, RCMF",27,7000000,2025-06-30,44,4327,1,1.41,5,3.12,11.98,48.78,England,England,left,179,70,no,6.57,4.62,64.41,1.98,29.47,0.27,0.47,0.23,3.33,5.76,0.54,8,0.17,0,0,1.02,0.02,1,0.02,0.03,0,0,27,0.56,25.93,3.704,0.1,0.83,42.5,0.54,42.31,0.25,41.67,0.17,0.6,58.62,2.91,42.14,0.25,1.81,0.37,68.47,0.08,0.69,84.51,92.25,23.19,83.14,13.1,97.46,31.8,95.36,79.37,95.1,4.35,48.8,16.65,38.33,0.06,0.73,0.04,0.02,0.6,27.59,0.29,12.4,81.71,2.48,47.06,1.58,22.37,0.79,0.35,10.17,81.39,0,,0,,0,0,0,0,,,0.69,,,0.15,0,0,0.69,0,0
