Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Berge,Sheffield United,Sheffield United,RCMF,25,16000000,2024-06-30,28,2671,5,3.42,3,1.79,18.57,54.08,Norway,Norway,right,195,96,no,6,4.82,67.83,3.34,51.52,0,0,0.3,2.73,4.02,0.74,2,0.07,0,0,4.04,0.17,5,0.17,0.12,0,0,39,1.31,30.77,12.821,0.1,2.63,32.05,0.24,28.57,2.36,32.86,0.51,4.08,63.64,7.88,50,2.53,2.06,0.64,21.16,0.37,0.64,33.7,80.8,8.83,75.19,6.64,89.34,12.27,85.16,29.31,86.78,1.82,55.56,18.23,29.93,0.06,0.67,0.03,0.07,0.4,50,0.4,3.94,81.2,2.73,62.96,0.34,40,1.11,0.84,5.12,76.97,0,,0,,0,0,0,0,,,0.24,,,0.03,0.03,0,0,0,0
I. Louza,Watford,Watford,"LCMF, LDMF, RDMF",23,9000000,2028-06-30,13,807,3,1.94,1,1.2,21.86,37.24,France,"France, Morocco",left,178,65,no,8.36,7.92,39.44,2.79,48,1,1.63,0.11,4.24,6.87,2.12,4,0.45,0,0,2.45,0.33,3,0.33,0.22,0,0,13,1.45,53.85,23.077,0.11,1.34,41.67,0.56,40,0.78,42.86,0.45,2.12,47.37,7.25,36.92,1.45,0.67,0.45,37.14,0.78,1.12,52.97,87.37,17.62,78.48,9.26,92.77,15.95,93.01,44.83,92.79,7.03,60.32,18.66,36.4,0.13,1.23,0,0.11,0.56,20,0.22,8.48,80.26,2.12,42.11,1.23,45.45,0.56,0.45,8.7,82.05,0,,0,,0,0,0,0,,,0.22,,,1.9,0.33,66.67,3.57,1,0
J. Cullen,Burnley,Burnley,"LDMF, RDMF, LCMF",26,7000000,2025-06-30,34,3291,1,2.67,2,1.91,15.21,50.9,England,"England, Republic of Ireland",right,175,70,no,7.9,5.61,61.46,3.23,45.76,0.74,1.34,0.33,3.72,6.74,0.9,6,0.16,0,0,1.23,0.03,1,0.03,0.07,0,0,21,0.57,23.81,4.762,0.05,0.82,26.67,0.25,44.44,0.57,19.05,0.05,0.74,66.67,3.69,49.63,0.71,1.5,0.3,50.13,0.6,1.48,63.45,89.14,16.46,74.09,10.39,97.11,27.68,93.97,58.2,93.09,4.46,49.08,18.66,33.42,0.05,0.68,0.03,0,1.01,37.84,0.33,8.53,74.68,2.24,46.34,1.31,33.33,0.9,0.22,7.36,75.84,0,,0,,0,0,0,0,,,0.85,,,0,0,0,0.03,0,0
M. Grimes,Swansea City,Swansea City,"LCMF, DMF, RCMF",27,7000000,2025-06-30,36,3537,1,1.34,5,2.83,12.16,48.95,England,England,left,179,70,no,6.56,4.5,65.54,2.06,32.1,0.33,0.57,0.23,3.28,5.7,0.59,7,0.18,0,0,1.15,0.03,1,0.03,0.03,0,0,25,0.64,24,4,0.13,0.97,42.11,0.61,41.67,0.31,41.67,0.2,0.66,61.54,3.03,42.86,0.28,2.06,0.38,68.14,0.1,0.71,84.68,91.8,23.44,81.65,12.72,98,32.19,95.42,79.13,94.89,4.63,48.35,16.85,38.85,0.07,0.81,0.03,0.03,0.69,25.93,0.33,13.08,80.74,2.6,47.06,1.68,21.21,0.84,0.41,10.46,82.24,0,,0,,0,0,0,0,,,0.56,,,0.18,0,0,0.81,0,0
I. Koné,Watford,Watford,"RCMF, LCMF, AMF",20,6000000,2026-06-30,10,713,0,0.92,1,0.47,17.42,52.17,Côte d'Ivoire,"Côte d'Ivoire, Canada",right,188,76,no,6.82,6.19,61.22,2.65,52.38,0.5,0.75,0,2.52,3.77,0.63,1,0.13,0,0,1.51,0,0,0,0.12,0,0,8,1.01,37.5,0,0.13,0.5,0,0.13,0,0.25,0,0.13,1.64,69.23,6.69,49.06,1.51,1.89,0.88,22.72,0.25,1.64,31.18,84.62,7.7,63.93,6.94,98.18,12.75,89.11,28.02,88.29,2.65,61.9,19.46,29.05,0.06,0.76,0,0,0.25,0,0.13,5.55,65.91,0.76,33.33,0.63,20,0.38,0,2.78,86.36,0,,0,,0,0,0,0,,,0.38,,,0.25,0.13,0,0.25,0,0
M. Núñez,Norwich City,Norwich City,"RCMF, RDMF, LCMF",23,6000000,2026-06-30,32,2039,3,3.39,1,2,20.39,43.94,Chile,Chile,right,173,73,no,8.83,8.17,56.76,2.52,31.58,0.49,0.82,0.26,3.71,6.27,1.5,3,0.13,0,0,2.25,0.13,3,0.13,0.15,0,0,57,2.52,22.81,5.263,0.04,0.97,22.73,0.49,9.09,0.49,36.36,0.13,2.3,51.92,7.02,34.59,1.46,0.75,0.49,31.21,0.71,0.84,42.33,79.56,12.36,63.57,6.22,92.2,16.33,85.41,35.05,84.89,6.31,58.74,19.69,37.21,0.09,0.97,0,0.04,0.66,40,0.22,7.42,66.07,2.82,50,1.37,25.81,1.24,0.26,7.19,73.01,0,,0,,0,0,0,0,,,0.26,,,1.32,0.53,25,1.94,0,0
Gabriel Sara,Norwich City,Norwich City,"LCMF, AMF, LDMF",23,6000000,2026-06-30,32,2307,6,4.16,3,4.59,16.81,39.44,Brazil,Brazil,left,177,73,no,6.01,5.46,57.86,1.91,36.73,0.04,0.06,0.08,2.81,4.49,0.7,2,0.08,0,0,2.3,0.23,6,0.23,0.16,0,0,45,1.76,35.56,13.333,0.12,1.25,34.38,0.94,29.17,0.31,50,0.16,2.85,38.36,7.53,27.98,1.76,1.13,0.55,30.51,0.59,0.7,43.97,80.39,13.73,65.34,7.92,94.09,15.41,87.59,38.35,84.84,4.41,53.98,17.65,31.87,0.18,1.6,0.12,0.04,0.9,17.39,0.23,6.51,71.86,3.04,56.41,1.33,26.47,1.44,0.39,7.53,69.43,0,,0,,0,0,0,0,,,0.59,,,1.21,0.16,25,3.82,0,0
H. Mejbri,Birmingham City,Birmingham City,"LCMF, RCMF, AMF",20,6000000,2026-06-30,32,1934,1,0.56,3,4.14,24.38,39.69,France,"France, Tunisia",right,177,70,yes,7.35,7.03,52.32,2,18.6,0.6,0.83,0,3.07,4.19,2.05,9,0.42,0,0,2.37,0.05,1,0.05,0.03,0,0,10,0.47,20,10,0.14,1.54,36.36,0.51,36.36,1.02,36.36,0.37,2.98,53.13,10.7,36.09,1.02,1.54,0.7,16.43,0.56,2.19,26.57,73.38,7.49,54.66,5.35,90.43,8.28,79.21,23.04,78.79,2,39.53,17.91,26.73,0.19,1.35,0,0,0.79,17.65,0.42,3.58,61.04,2.42,40.38,0.93,15,0.6,0.56,4.42,65.26,0,,0,,0,0,0,0,,,0.47,,,1.81,0.19,50,2.19,0,0
E. Kayembe,Watford,Watford,"LDMF, DMF, LCMF",24,5000000,2026-06-30,21,1939,0,0.66,0,0.33,17.96,51.42,Congo DR,Congo DR,left,183,77,no,8.08,7.1,65.36,1.81,33.33,0.14,0.22,0.14,3.3,5.12,1.16,2,0.09,0,0,1.86,0,0,0,0.03,0,0,19,0.88,10.53,0,0,0.84,33.33,0.51,27.27,0.32,42.86,0.09,2.27,61.22,5.99,44.19,0.32,0.97,0.42,29.01,0.28,0.51,45.12,85.7,12.21,73.38,6.22,94.03,20.24,92.43,40.1,89.58,4.27,57.61,19.49,38.01,0.02,0.19,0.05,0.05,0.28,33.33,0.09,7.24,75,1.49,46.88,1.02,27.27,0.42,0.28,7.15,71.43,0,,0,,0,0,0,0,,,0.28,,,0.14,0.05,0,0,0,0
I. Hayden,Norwich City,Norwich City,"DMF, LDMF, RDMF",27,5000000,2026-06-30,12,777,0,0.83,0,0,17.61,52.63,England,"England, Jamaica",right,187,79,yes,10.19,6.37,56.36,4.63,55,1.39,1.82,0.23,5.21,6.82,1.62,5,0.58,0,0,0.81,0,0,0,0.1,0,0,8,0.93,37.5,0,0,0.12,0,0.12,0,0,0,0,0.81,57.14,3.24,50,0.58,0.12,0.23,22.82,0.23,0.69,38.11,85.71,10.08,67.82,7.18,96.77,14.48,92.8,34.75,89.67,3.24,46.43,16.06,27.11,0,0,0,0,0,0,0,4.17,66.67,0.12,0,0.35,33.33,0.12,0,3.82,42.42,0,,0,,0,0,0,0,,,0.46,,,0,0,0,0,0,0
