Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Harwood-Bellis,Southampton,Southampton,"RCB, LCB",21,20000000,2024-06-30,6,606,0,0.43,0,0,12.92,48.28,England,England,right,188,73,yes,7.57,3.86,65.38,6.39,39.53,0.3,0.43,0.74,4.75,6.81,0.45,1,0.15,0,0,0.3,0,0,0,0.06,0,0,3,0.45,66.67,0,0,0.15,0,0.15,0,0,0,0,0,0,0.15,0,0.59,0.45,0.3,47.23,0,0.15,60,90.59,23.61,81.76,4.01,100,26.58,96.65,55.54,93.05,4.31,62.07,19.2,34.91,0,0,0,0,0,0,0,3.56,70.83,0,0,0.15,0,0,0,7.87,60.38,0,,0,,0,0,0,0,,,3.27,,,0,0,0,0,0,0
W. Faes,Leicester City,Leicester City,RCB,25,20000000,2027-06-30,9,898,1,0.62,0,0.15,10.22,55.88,Belgium,Belgium,right,187,84,no,8.72,3.71,64.86,2.31,60.87,0.5,0.81,0.8,5.81,9.41,0.5,2,0.2,0,0,0.9,0.1,1,0.1,0.06,1,0.1,6,0.6,33.33,16.667,0,0.2,100,0,0,0.1,100,0,0.7,71.43,2.61,50,0.8,3.81,0.6,55.82,0.4,0.6,71.56,92.58,28.46,88.03,5.21,96.15,27.96,96.77,66.25,94.86,5.11,62.75,17.35,40,0.02,0.5,0,0,0.2,0,0,9.02,78.89,0.6,66.67,0.6,33.33,0.3,0.1,9.32,78.49,0,,0,,0,0,0,0,,,3.61,,,0,0,0,0,0,0
P. Struijk,Leeds United,Leeds United,"LCB, RCB",24,20000000,2027-06-30,11,1111,1,1.14,0,0.06,13.12,60.49,Belgium,"Belgium, Netherlands",left,190,79,no,5.99,4.54,67.86,4.7,58.62,0.08,0.12,0.24,2.84,4.22,0.89,1,0.08,0,0,0.57,0.08,1,0.08,0.09,0,0,6,0.49,33.33,16.667,0,0.24,66.67,0.24,66.67,0,0,0,0.41,60,1.38,52.94,0.97,1.22,0.16,51.04,0.08,0.32,68.29,91.58,27.3,82.79,3.56,97.73,30.78,98.16,63.35,95.78,4.7,36.21,19.67,41.05,0.01,0.16,0,0,0.08,0,0.08,8.26,75.49,0.73,33.33,0.32,25,0.24,0.16,9.96,73.17,0,,0,,0,0,0,0,,,2.92,,,0,0,0,0,0,0
C. Coady,Leicester City,Leicester City,"LCB, RCB",30,18000000,2025-06-30,2,106,0,0,0,0,3.4,50,England,England,right,185,80,no,7.64,1.7,50,0.85,0,0,0,0,6.79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,100,0,0,0,96.79,0.85,0.85,111.23,96.18,34.81,87.8,1.7,100,58.58,100,109.53,96.9,1.7,50,17.27,50.71,0,0,0,0,0,0,0,7.64,66.67,0.85,0,0,0,0,0,8.49,80,0,,0,,0,0,0,0,,,0.85,,,0,0,0,0,0,0
H. Souttar,Leicester City,Leicester City,RCB,24,15000000,2028-06-30,1,86,0,0,0,0,7.33,57.14,Scotland,"Scotland, Australia",right,198,80,no,3.14,1.05,100,3.14,66.67,0,0,0,2.09,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,81.63,1.05,0,91.05,87.36,32.44,67.74,2.09,100,48.14,97.83,86.86,90.36,4.19,25,19.41,48.09,0,0,0,0,1.05,0,0,20.93,65,2.09,0,2.09,0,0,0,10.47,60,0,,0,,0,0,0,0,,,1.05,,,0,0,0,0,0,0
J. Bednarek,Southampton,Southampton,"RCB, LCB",27,14000000,2025-06-30,10,964,1,1.96,0,0.44,9.43,62.38,Poland,Poland,right,189,77,no,7.1,2.8,70,3.83,60.98,0.09,0.16,0.56,5.04,8.57,0.56,3,0.28,0,0,0.65,0.09,1,0.09,0.18,0,0,5,0.47,80,20,0,0,0,0,0,0,0,0,0.37,75,1.03,54.55,0.84,0.56,0,49.57,0,0.37,67.13,94.71,23.15,88.71,5.04,96.3,28.38,97.7,64.61,96.68,2.52,44.44,16.65,38.19,0.04,0.19,0,0,0,0,0,4.57,75.51,0.28,0,0,0,0.09,0,6.16,75.76,0,,0,,0,0,0,0,,,3.36,,,0,0,0,0,0,0
B. Cabango,Swansea City,Swansea City,"RCB, CB",23,13000000,2025-06-30,9,885,0,0.49,0,0.46,16.37,64.6,Wales,"Wales, Angola",right,188,81,no,8.24,5.59,70.91,5.49,66.67,0.41,0.57,0.31,3.86,5.38,0.61,2,0.2,0,0,0.61,0,0,0,0.05,0,0,4,0.41,0,0,0,0,0,0,0,0,0,0,0.61,100,2.34,69.57,0.51,0.92,0.1,40.07,0.2,0.71,56.54,88.85,20.34,78.5,2.34,91.3,28.58,95.73,50.75,93.59,5.8,47.37,20.79,42.12,0.05,0.2,0.1,0.1,0.1,0,0,5.19,60.78,0.51,40,0.2,0,0.31,0,9.25,68.13,0,,0,,0,0,0,0,,,1.73,,,0,0,0,0,0,0
M. Holgate,Southampton,Southampton,"LCB, RB",26,12000000,2025-06-30,3,122,0,0.05,0,0.18,16.23,45.45,England,"England, Jamaica",right,184,75,yes,8.11,6.64,66.67,3.69,40,0,0,0,3.69,4.41,0.74,0,0,0,0,1.48,0,0,0,0.04,0,0,2,1.48,50,0,0,0.74,100,0,0,0.74,100,0,0,0,3.69,0,1.48,4.43,2.21,42.05,2.21,0,56.07,86.84,17.7,70.83,6.64,100,16.23,90.91,50.9,89.86,5.16,57.14,22.2,24.38,0.13,0.74,0,0,0,0,0,8.85,66.67,2.21,66.67,0,0,1.48,0.74,5.9,50,0,,0,,0,0,0,0,,,1.48,,,0,0,0,0,0,0
J. Greaves,Hull City,Hull City,"LCB, LB",23,11000000,2026-06-30,9,902,0,0.1,0,0,16.36,60.37,England,England,left,193,86,no,8.58,5.19,61.54,5.39,70.37,0.5,0.63,0.5,4.89,6.2,0.9,5,0.5,0,0,0.9,0,0,0,0.01,0,0,3,0.3,0,0,0,0.5,20,0.5,20,0,0,0.2,1,80,3.19,56.25,0.8,0.9,0.5,40.21,0.1,1.3,52.48,90.3,18.86,79.89,5.79,100,22.55,96.9,47.59,95.18,4.39,45.45,19.57,39.34,0,0,0,0,0,0,0,4.39,63.64,0.6,50,0.1,0,0.1,0.2,6.59,66.67,0,,0,,0,0,0,0,,,2.59,,,0,0,0,0,0,0
J. Rodon,Leeds United,Leeds United,RCB,25,8000000,2025-06-30,8,678,0,0.23,0,0.33,14.47,69.72,Wales,Wales,right,193,88,yes,9.03,4.65,80,6.64,68,0.13,0.2,0.8,5.18,7.7,0.66,2,0.27,1,0.13,0.27,0,0,0,0.03,0,0,2,0.27,0,0,0,0,0,0,0,0,0,0,0.53,50,0.93,42.86,0.66,0.53,0.27,32.52,0.53,0.13,45.4,91.81,12.48,77.66,2.79,95.24,26.15,98.98,44.07,92.77,1.33,60,16.76,25.09,0.04,0.27,0,0,0,0,0.13,2.26,94.12,0.13,0,0.13,0,0.13,0,5.44,58.54,0,,0,,0,0,0,0,,,2.26,,,0,0,0,0,0,0
