Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Wilson,Fulham,Fulham,"RAMF, RW",25,17000000,2026-06-30,41,3704,10,9.29,15,10.98,15.87,47.63,Wales,"Wales, England",left,173,70,no,5.32,4.64,57.07,1.07,25,0.12,0.2,0.02,2.55,4.2,0.85,6,0.15,1,0.02,4.54,0.24,10,0.24,0.23,0,0,89,2.16,33.71,11.236,0.36,2.26,39.78,0.27,45.45,1.87,38.96,0.27,3.98,59.76,7.68,51.27,3.79,2.04,0.95,28.57,2.14,1.75,35.16,83.14,7.8,68.54,10.72,92.74,10.16,82.78,31.59,87.54,1.41,50,16.8,30.89,0.27,1.92,0.15,0.12,1.14,46.81,0.92,2.65,64.22,3.45,66.2,0.85,28.57,2.16,0.87,5.22,85.58,0,,0,,0,0,0,0,,,0.05,,,0.83,0.22,22.22,2.82,0,0
K. Lewis-Potter,Brentford,Hull City,"LAMF, LW, AMF",22,15000000,2028-06-30,46,4485,12,10.66,3,4.91,15.67,41.74,England,England,right,170,66,no,4.41,2.79,61.15,1.34,23.88,0.02,0.02,0.04,2.69,3.33,0.4,3,0.06,0,0,4.29,0.24,12,0.24,0.21,1,0.02,101,2.03,35.64,11.881,0.06,2.99,26.17,2.09,26.92,0.9,24.44,0.52,5.2,52.12,8.89,40.86,3.35,3.03,1.53,18.98,1.83,1.06,25.42,76.87,4.84,68.46,7.06,92.9,8.33,70.84,21.11,85.93,1.48,45.95,17.52,30.59,0.1,0.84,0.06,0.02,0.3,26.67,0.46,1.73,61.63,2.59,38.76,0.4,20,0.8,0.92,3.31,70.91,0,,0,,0,0,0,0,,,0.12,,,0.2,0.18,33.33,0.04,0,0
D. Brooks,Bournemouth,Bournemouth,"RWF, RW",25,14000000,2026-06-30,7,528,1,0.52,0,0.46,15.34,40,England,"England, Wales",left,173,67,no,3.75,4.09,41.67,1.02,0,0.17,0.3,0,1.88,3.33,1.53,2,0.34,1,0.17,5.11,0.17,1,0.17,0.09,0,0,9,1.53,44.44,11.111,0,1.36,37.5,0.17,100,1.19,28.57,0,5.11,60,8.69,45.1,3.41,2.9,1.19,25.91,2.73,0.68,32.39,77.89,7.67,60,6.82,95,11.08,81.54,29.15,81.87,1.88,45.45,18.1,40.56,0.08,0.85,0.34,0.34,2.05,41.67,0.17,3.24,63.16,2.9,52.94,2.05,33.33,2.22,0.51,6.14,80.56,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0.34,0,0
R. Christie,Bournemouth,Bournemouth,"RWF, RAMF, RW",27,9000000,2024-06-30,38,3196,3,5.3,6,5.88,22.13,45.29,Scotland,Scotland,left,178,71,no,7.32,6.31,59.82,2.17,31.17,0.37,0.58,0.08,3.18,5.06,1.15,6,0.17,0,0,4.73,0.08,3,0.08,0.15,0,0,69,1.94,46.38,4.348,0.17,1.75,38.71,0.39,50,1.32,36.17,0.25,4.59,56.44,10.64,42.86,2.79,2.17,1.1,29.85,2.17,1.44,39.09,80.33,8.9,63.29,9.12,92.59,13.74,82.58,34.47,84.72,2.9,52.43,18.43,36.05,0.17,1.24,0.14,0.03,1.32,42.55,0.51,4.73,63.69,3.58,48.03,1.49,33.96,1.3,0.73,5.94,78.67,0,,0,,0,0,0,0,,,0.2,,,0.65,0.08,33.33,1.91,0,0
B. De Cordova-Reid,Fulham,Fulham,"LAMF, AMF, RAMF",30,7000000,2024-06-30,41,2704,8,7.65,8,5.28,15.64,41.49,England,"England, Jamaica",right,170,68,no,5.99,5.19,59.62,1.66,30,0.4,0.65,0.07,2.5,4.05,1,4,0.13,0,0,2.8,0.27,8,0.27,0.25,1,0.03,47,1.56,44.68,17.021,0.27,1.6,43.75,0.57,35.29,1.03,48.39,0.27,2.53,40.79,6.39,33.85,3.33,1.3,0.53,27.23,2.33,0.7,34.22,84.14,7.22,69.12,8.59,96.12,11.45,86.05,31.09,87.9,1.66,50,17.17,23.41,0.18,1.3,0.2,0.03,1.03,35.48,0.77,2.76,67.47,2.73,59.76,1.13,29.41,1.6,0.63,5.23,84.08,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0.13,0,0
K. Grant,West Bromwich Albion,West Bromwich Albion,"LWF, CF, AMF",25,6000000,2026-06-30,44,3607,18,17.57,6,4.29,19.36,33.76,England,England,right,183,70,no,2.84,2.62,52.38,3.84,25.32,0,0,0,1.47,2.22,0.62,2,0.05,0,0,4.64,0.45,14,0.35,0.44,0,0,97,2.42,46.39,18.557,0.15,2.77,32.43,2.25,32.22,0.52,33.33,0.22,4.77,49.21,9.91,35.52,3.49,1.85,0.75,16.99,1.42,0.82,24.1,71.95,5.89,61.86,5.84,89.74,6.96,71.33,19.91,79.07,1.62,46.15,17.22,26.62,0.11,0.92,0.02,0,0.72,37.93,0.7,2.52,53.47,2.5,56,1.05,30.95,0.8,0.85,3.12,81.6,0,,0,,0,0,0,0,,,0.02,,,0.1,0.05,0,0.3,7,57.143
G. Diangana,West Bromwich Albion,West Bromwich Albion,"RWF, AMF, CF",24,6000000,2025-06-30,41,2096,2,4.78,1,2.09,27.57,40.19,England,"England, Congo DR",left,180,73,no,5.75,5.11,62.18,3.48,14.81,0.09,0.13,0.13,2.49,3.9,0.94,2,0.09,0,0,5.11,0.09,2,0.09,0.21,0,0,35,1.5,28.57,5.714,0.04,1.98,17.39,0.64,20,1.33,16.13,0.26,6.53,53.95,13.83,40.06,2.92,2.53,1.42,19.58,1.37,1.8,27.22,79.65,7.21,74.4,5.88,93.43,7.21,79.76,24.3,85.34,1.12,57.69,17.7,18.46,0.09,0.82,0.04,0.04,1.59,51.35,0.52,3.18,66.22,2.58,58.33,1.33,51.61,1.29,0.39,3.39,87.34,0,,0,,0,0,0,0,,,0.09,,,0.09,0.04,0,0.04,0,0
J. Knight,Derby County,Derby County,"LAMF, RW, RCMF",22,5000000,2023-06-30,38,2971,2,2.11,3,2.24,20.36,49.85,Republic of Ireland,Republic of Ireland,right,173,63,no,6.54,5.7,54.79,3.51,50,0.24,0.34,0.06,3.18,4.45,0.76,2,0.06,0,0,3.39,0.06,2,0.06,0.06,1,0.03,27,0.82,37.04,7.407,0.09,2.3,31.58,0.45,26.67,1.85,32.79,0.24,3.45,61.4,7.82,52.71,1.61,1.18,1.27,19.42,0.94,2.09,29.35,79.77,7.45,64.23,7.85,94.98,7.88,80.38,25.17,87.48,2.06,35.29,17.82,29.5,0.07,0.58,0,0.03,0.36,66.67,0.36,3.7,62.3,1.73,45.61,0.27,44.44,0.48,0.7,3.57,72.03,0,,0,,0,0,0,0,,,0.51,,,0,0,0,0,0,0
J. Anthony,Bournemouth,Bournemouth,"LWF, LAMF, LW",23,5000000,2027-06-30,45,3490,8,7.14,6,9.01,20.06,44.73,England,England,right,183,68,no,6.81,6.14,62.61,2.4,24.73,0.05,0.08,0.1,2.91,4.74,1.19,3,0.08,0,0,5.03,0.21,8,0.21,0.18,1,0.03,59,1.52,38.98,13.559,0.15,2.73,36.79,1.88,24.66,0.83,62.5,0.39,4.31,63.47,7.94,45.45,2.89,2.14,0.67,28.83,2.55,0.8,37.86,80.25,9.93,71.43,10.34,93.27,11.04,75.93,32.83,85.39,2.4,59.14,18.14,37.05,0.23,1.5,0.23,0.05,1.06,65.85,0.64,3.02,67.52,4.44,62.79,0.98,50,2.27,1.06,7.25,77.58,0,,0,,0,0,0,0,,,0.13,,,0.31,0.03,0,2.37,0,0
N. Kebano,Fulham,Fulham,"LAMF, LW",31,4000000,2023-06-30,40,2906,9,9.74,5,4.71,23.23,49.73,France,"France, Congo DR",right,170,65,no,5.82,5.2,63.1,2.08,29.85,0,0,0.09,2.54,4.08,1.15,1,0.03,0,0,7.22,0.28,9,0.28,0.3,1,0.03,66,2.04,39.39,13.636,0.15,4.68,25.83,3.59,27.59,1.08,20,0.74,7.74,64,13.41,52.19,5.02,2.66,1.05,17.06,1.61,1.55,26.6,74.85,4.27,71.74,9.26,91.97,7.56,60.25,21.65,85.84,0.5,43.75,16.67,13.15,0.15,1.15,0.15,0.03,0.37,66.67,0.53,0.99,62.5,4.03,50,0.15,40,1.55,1.15,3.5,78.76,0,,0,,0,0,0,0,,,0,,,0.22,0.12,25,0.77,0,0
