Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rúben Dias,Manchester City,Manchester City,"RCB, LCB",26,75000000,2027-06-30,7,700,0,0.81,0,0.13,9.59,63.08,Portugal,Portugal,right,187,82,no,7.08,3.84,80.77,2.36,50,0,0,0.59,3.98,7.3,0.59,0,0,0,0,0.74,0,0,0,0.12,0,0,6,0.89,50,0,0,0.44,33.33,0,0,0.44,33.33,0,0.15,100,0.89,66.67,1.03,4.57,0,65.36,0.59,0.59,79.08,95.34,20.95,87.32,3.39,100,43.08,97.95,75.54,97.27,3.1,57.14,18.99,30.83,0.02,0.3,0,0,0,0,0,11.07,88,1.03,42.86,0.59,50,0.44,0.15,6.79,76.09,0,,0,,0,0,0,0,,,1.33,,,0,0,0,0,0,0
C. Romero,Tottenham Hotspur,Tottenham Hotspur,RCB,25,60000000,2027-06-30,8,744,2,0.78,0,0.04,15.12,61.6,Argentina,Argentina,right,185,79,no,9.56,5.2,72.09,4.35,61.11,0.6,1.03,0.73,5.2,8.9,0.73,2,0.24,0,0,0.6,0.24,2,0.24,0.09,1,0.12,6,0.73,33.33,33.333,0,0,0,0,0,0,0,0,0.36,66.67,2.54,33.33,0.85,0.97,0.24,40.77,0.24,0.97,57.82,93.31,21.53,86.52,3.75,90.32,25.16,99.52,54.19,94.64,3.63,73.33,18.13,28.18,0.01,0.24,0,0,0.12,100,0.12,5.56,86.96,0.6,60,0.6,80,0.73,0,7.5,74.19,0,,0,,0,0,0,0,,,2.66,,,0,0,0,0,0,0
W. Saliba,Arsenal,Arsenal,"RCB, LCB",22,55000000,2027-06-30,7,720,0,0.17,0,0.08,9.63,62.34,France,"France, Cameroon",right,192,85,no,6.5,3.5,75,3.38,51.85,0.38,0.61,0.63,3.5,5.68,0.25,0,0,0,0,0.13,0,0,0,0.02,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0.5,25,1.38,36.36,0.38,0.5,0,52.88,0.25,0.25,66.5,95.68,17.5,87.86,1.75,100,40,98.75,63.5,96.65,3,75,19.58,31.94,0.01,0.13,0,0.13,0.13,0,0,6.12,75.51,0.38,33.33,0.25,0,0.13,0,4.75,81.58,0,,0,,0,0,0,0,,,1.25,,,0,0,0,0,0,0
L. Martínez,Manchester United,Manchester United,LCB,25,50000000,2027-06-30,5,412,0,0,0,0.17,12.89,47.46,Argentina,Argentina,left,178,77,no,7.86,6.12,60.71,1.75,12.5,1.09,1.35,0.44,3.06,3.78,0.44,2,0.44,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.44,0,0,0,0,0.44,100,1.53,57.14,0.22,1.97,0.22,39.54,0.22,0.44,54.17,92.74,18.57,84.71,3.71,100,25.12,96.52,49.81,97.37,4.15,42.11,19.1,38.98,0.04,0.87,0,0,0,0,0,8.96,78.05,1.09,20,1.75,12.5,0.22,0,6.12,85.71,0,,0,,0,0,0,0,,,2.62,,,0,0,0,0,0,0
Gabriel Magalhaes,Arsenal,Arsenal,LCB,25,50000000,2027-06-30,6,453,0,0,0,0,13.11,56.06,Brazil,Brazil,left,190,87,no,7.75,4.97,76,3.18,43.75,0,0,1.39,3.97,5.56,1.19,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,2.19,27.27,0,0.6,0,43.51,0.4,0.99,50.66,90.2,17.88,83.33,3.38,94.12,24.64,95.16,46.89,93.22,3.58,55.56,21.26,37.45,0,0,0,0,0,0,0,5.56,75,0.4,0,0.79,50,0,0,6.95,60,0,,0,,0,0,0,0,,,2.98,,,0,0,0,0,0,0
S. Botman,Newcastle United,Newcastle United,LCB,23,45000000,2027-06-30,5,506,1,0.41,1,0.41,10.32,68.97,Netherlands,Netherlands,left,193,81,no,7.83,4.09,78.26,3.38,63.16,0,0,0.71,4.62,6.29,0.36,1,0.18,0,0,0.36,0.18,1,0.18,0.07,1,0.18,4,0.71,25,25,0.18,0.18,0,0.18,0,0,0,0,0.36,50,0.71,50,1.25,0,0,42.69,0.18,0.36,57.27,92.55,20.63,87.93,1.6,77.78,28.46,96.88,54.07,95.07,3.02,52.94,18.7,32.55,0.07,0.18,0,0.18,0,0,0.18,4.09,86.96,0,0,0.18,0,0.18,0,6.94,66.67,0,,0,,0,0,0,0,,,0.89,,,0,0,0,0,0,0
Pau Torres,Aston Villa,Aston Villa,LCB,26,45000000,2024-06-30,7,703,0,0.09,0,0,9.73,55.26,Spain,Spain,left,191,80,no,4.74,4.35,58.82,1.54,58.33,0,0,0.13,2.18,2.74,0.51,0,0,0,0,1.02,0,0,0,0.01,0,0,1,0.13,100,0,0,0,0,0,0,0,0,0,1.28,70,1.79,64.29,0.13,1.54,0.13,37.64,0.13,0.26,51.59,91.32,18.31,82.52,2.69,95.24,26.12,96.08,46.34,94.2,5.25,65.85,20.58,39.53,0,0,0,0,0.26,0,0,7.43,81.03,0.64,40,0.51,0,0.13,0,8.45,72.73,0,,0,,0,0,0,0,,,2.05,,,0,0,0,0,0,0
V. van Dijk,Liverpool,Liverpool,LCB,32,45000000,2025-06-30,5,443,0,0.62,2,0.14,11.38,78.57,Netherlands,"Netherlands, Suriname",right,193,92,no,10.97,4.06,85,4.88,87.5,0,0,1.22,7.52,9.57,0.2,1,0.2,1,0.2,0,0,0,0,0.13,0,0,6,1.22,0,0,0.41,0,0,0,0,0,0,0,0,0,0.41,50,1.22,0.2,0,31.9,0.81,0.2,44.09,93.55,13.61,86.57,1.42,100,22.55,98.2,40.23,95.45,3.86,73.68,20.06,40.04,0.03,0.2,0,0,0,0,0.2,2.84,78.57,0.2,100,0.2,0,0.2,0,3.66,72.22,0,,0,,0,0,0,0,,,1.02,,,0.2,0.2,0,0,0,0
R. Varane,Manchester United,Manchester United,RCB,30,40000000,2025-06-30,5,359,1,0.76,0,0.16,11.53,69.57,France,"France, Martinique",right,191,81,no,9.53,6.77,77.78,1.75,100,0,0,0.5,4.26,6.07,0.5,0,0,0,0,0.75,0.25,1,0.25,0.19,1,0.25,6,1.5,33.33,16.667,0,0.25,100,0,0,0.25,100,0,0,0,0.75,0,1.75,3.51,0,43.87,0.75,0,62.17,94.35,20.06,90,4.76,94.74,27.83,96.4,59.16,96.19,2.76,54.55,20.62,17.68,0.04,0.25,0,0,0,0,0.25,10.03,95,0.25,100,0,0,0,0.25,8.77,77.14,0,,0,,0,0,0,0,,,2.51,,,0,0,0,0,0,0
M. Guéhi,Crystal Palace,Crystal Palace,LCB,23,35000000,2026-06-30,6,591,0,0.08,0,0,11.12,64.38,Côte d'Ivoire,"Côte d'Ivoire, England",right,182,82,no,9.14,4.72,77.42,2.13,50,0.3,0.34,1.07,5.18,5.83,0.61,0,0,0,0,0.61,0,0,0,0.01,0,0,1,0.15,0,0,0,0.15,100,0.15,100,0,0,0,0.61,75,2.13,57.14,0.15,0.91,0.15,33.2,0,0.91,47.06,89.97,17.97,81.36,1.83,91.67,23.3,96.08,41.42,93.01,5.48,66.67,21.33,42.9,0,0,0,0.3,0,0,0,7.77,76.47,0.46,66.67,0.3,0,0.15,0.15,7.77,78.43,0,,0,,0,0,0,0,,,1.07,,,0,0,0,0,0,0
I. Konaté,Liverpool,Liverpool,RCB,24,35000000,2026-06-30,4,252,0,0.11,0,0.04,16.07,57.78,France,"France, Mali",right,194,95,no,10,6.79,63.16,5.36,33.33,1.07,1.32,0.71,4.64,5.74,0.71,0,0,0,0,0.71,0,0,0,0.04,0,0,1,0.36,0,0,0,0,0,0,0,0,0,0,0.36,100,1.43,75,0.36,0.71,0.71,31.07,0,0.71,41.07,91.3,24.29,88.24,3.21,100,10,92.86,37.86,92.45,3.21,77.78,14.53,30.72,0.02,0.36,0,0,0.36,100,0,4.29,75,0.36,100,0.36,100,0.36,0,9.29,76.92,0,,0,,0,0,0,0,,,2.86,,,0,0,0,0,0,0
N. Aké,Manchester City,Manchester City,"LCB, LB",28,35000000,2027-06-30,7,508,1,0.52,0,0.34,12.7,59.32,Netherlands,"Netherlands, Côte d'Ivoire",left,180,75,no,6.46,5.38,60,3.23,66.67,0.86,1.6,0,2.37,4.4,0.65,0,0,0,0,0.86,0.18,1,0.22,0.11,1,0.22,4,0.86,50,25,0,0.43,50,0.43,50,0,0,0,0.22,100,0.86,75,1.72,1.72,0,50.38,0.86,0.86,60.5,93.95,21.75,92.08,4.95,100,26.7,95.97,58.35,95.94,1.72,37.5,15.42,14.68,0.07,0.22,0,0,0,0,0.43,4.52,85.71,0.65,33.33,0.22,0,0.43,0.22,4.95,73.91,0,,0,,0,0,0,0,,,2.37,,,0,0,0,0,0,0
N. Aguerd,West Ham United,West Ham United,LCB,27,32000000,2027-06-30,7,672,1,0.88,0,0.14,12.46,55.91,Morocco,Morocco,left,190,76,no,10.58,5.09,71.05,4.15,41.94,0.4,0.43,1.47,6.56,6.97,0.67,1,0.13,1,0.13,0.4,0.13,1,0.13,0.12,1,0.13,4,0.54,50,25,0,0,0,0,0,0,0,0,0.13,100,1.07,50,0.54,0.27,0.13,25.45,0.13,0.4,35.49,86.04,15.4,70.43,1.34,100,14.2,98.11,27.99,93.78,7.5,57.14,23.32,44.56,0.02,0.13,0,0,0,0,0,4.42,57.58,0.13,100,0,0,0,0,7.5,62.5,0,,0,,0,0,0,0,,,0.8,,,0,0,0,0,0,0
J. Andersen,Crystal Palace,Crystal Palace,RCB,27,32000000,2026-06-30,7,708,2,0.48,0,0.6,12.58,62.63,Denmark,Denmark,right,192,87,no,9.66,4.83,63.16,4.45,62.86,0.25,0.28,0.76,6.36,6.94,0.64,0,0,0,0,1.78,0.25,2,0.25,0.06,0,0,6,0.76,66.67,33.333,0,1.14,55.56,0.38,33.33,0.76,66.67,0,1.14,44.44,2.29,61.11,1.14,1.78,0.25,32.92,0.13,1.14,46.4,85.48,18.31,71.53,3.05,100,22.63,95.51,37.12,92.47,8.14,57.81,23.6,44.53,0.08,0.64,0.13,0,0.13,100,0.64,9.15,72.22,1.78,71.43,0.38,66.67,0.76,0.76,8.77,73.91,0,,0,,0,0,0,0,,,2.67,,,0,0,0,0,0,0
A. Laporte,Manchester City,Manchester City,LCB,29,30000000,2025-06-30,1,20,0,0.13,0,0,,,France,"France, Spain",left,191,85,no,,,,,,,0,,,15,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
Diego Carlos,Aston Villa,Aston Villa,"RCB, CB",30,30000000,2026-06-30,4,186,0,0.3,0,0,14.52,46.67,Brazil,"Brazil, Spain",right,185,79,no,5.32,4.35,55.56,5.32,45.45,0.97,1.03,0.48,1.94,2.07,0.48,0,0,0,0,0,0,0,0,0.14,0,0,2,0.97,0,0,0,0,0,0,0,0,0,0,0.97,0,1.94,25,0.97,0,0,44.52,0.48,0,53.23,83.64,23.23,64.58,1.94,100,24.68,100,45.48,92.55,7.74,31.25,21.8,35.42,0,0,0,0,0,0,0,6.77,64.29,0,0,0.97,0,0,0,11.61,66.67,0,,0,,0,0,0,0,,,1.94,,,0,0,0,0,0,0
M. Akanji,Manchester City,Manchester City,"RCB, LCB",28,30000000,2027-06-30,6,611,0,0.09,0,0.02,10.02,70.59,Switzerland,"Switzerland, Nigeria",right,187,91,no,7.51,4.86,72.73,1.62,63.64,0.44,0.75,0.88,3.54,6,0.44,1,0.15,0,0,0.44,0,0,0,0.01,0,0,3,0.44,33.33,0,0,0.74,20,0.59,0,0.15,100,0,0.44,33.33,1.77,58.33,0.44,2.5,0.29,61.87,0.88,0.74,74.39,94.65,22.98,87.82,7.66,100,32.85,97.76,70.7,97.5,2.95,45,16.7,34.97,0,0.29,0,0.15,0,0,0,8.4,87.72,0.74,20,0.44,33.33,0.15,0.15,5.74,82.05,0,,0,,0,0,0,0,,,2.65,,,0,0,0,0,0,0
K. Zouma,West Ham United,West Ham United,RCB,28,28000000,2025-06-30,8,802,1,0.17,0,0,9.31,56.63,France,"France, Central African Republic",right,190,95,no,7.97,2.13,57.89,4.49,60,0.22,0.23,0.67,6.51,6.57,0.45,1,0.11,0,0,0.22,0.11,1,0.11,0.02,1,0.11,2,0.22,100,50,0,0,0,0,0,0,0,0,0.11,0,0.79,28.57,0.22,0.11,0.11,17.06,0.11,0.22,26.71,87.82,10.77,70.83,0.9,100,12.68,99.12,23.23,92.27,3.48,58.06,22.27,41.03,0,0,0,0,0,0,0,2.02,55.56,0.22,0,0.11,0,0,0,4.38,53.85,0,,0,,0,0,0,0,,,0.9,,,0,0,0,0,0,0
T. Mings,Aston Villa,Aston Villa,LCB,30,25000000,2026-06-30,1,31,0,0,0,0.08,,,England,"England, Barbados",left,196,77,no,,,,,,,0,,,10,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.19,34.71,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
H. Maguire,Manchester United,Manchester United,"RCB, CB",30,25000000,2025-06-30,2,44,0,0,0,0,,,England,England,right,194,100,no,,,,,,,0,,,2.31,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.23,40.56,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
M. Kilman,Wolverhampton Wanderers,Wolverhampton Wanderers,"LCB, RCB",26,25000000,2028-06-30,8,803,0,0.79,0,0.35,11.61,52.17,England,"England, Ukraine",left,194,89,no,9.21,4.54,66.67,3.53,39.29,0,0,0.5,6.19,7.24,0.76,1,0.11,0,0,1.01,0,0,0,0.1,0,0,2,0.25,100,0,0,0.13,0,0.13,0,0,0,0.13,0.5,100,1.39,63.64,0.5,0.38,0,29.79,0.13,0.38,45.82,83.2,22.97,75.82,1.89,100,15.9,92.86,37.99,92.03,7.7,40.98,21.17,42.93,0.04,0.38,0,0,0.25,100,0.25,6.44,52.94,0.88,28.57,1.26,30,0.25,0,7.57,56.67,0,,0,,0,0,0,0,,,1.14,,,0,0,0,0,0,0
