Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Barry,Salford City,Salford City,"LAMF, RAMF, LWF",19,1000000,2024-06-30,19,1102,2,2.68,1,1.54,19.44,46.22,England,"England, Republic of Ireland",right,174,65,no,4.66,4.49,50.91,0.82,20,0,0,0,2.37,3.82,0.49,0,0,1,0.08,6.29,0.16,2,0.16,0.22,0,0,26,2.12,38.46,7.692,0.08,1.96,33.33,0.65,37.5,1.23,33.33,0.33,8.49,55.77,12.01,47.62,4.66,4.9,2.86,13.48,1.8,0.65,19.19,74.47,4.17,58.82,6.04,89.19,4.9,75,15.84,80.41,1.55,63.16,18.4,25.49,0.13,1.06,0.16,0.16,0.41,20,0.33,1.55,57.89,1.88,52.17,0.41,20,1.14,0.49,3.19,69.23,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0.08,0,0
L. Bolton,Salford City,Salford City,"RAMF, RWB, RB",23,800000,2024-06-30,44,4013,6,4,6,7.07,22.79,45.87,England,England,right,174,72,no,6.75,6.37,55.63,2.67,33.61,0.18,0.29,0.11,3.03,4.86,1.03,3,0.07,0,0,5.43,0.13,6,0.13,0.09,0,0,30,0.67,43.33,20,0.13,4.62,25.24,0.04,50,4.53,24.26,1.26,6.06,64.07,10.47,47.32,2.49,3.25,1.3,19.02,2.31,1.26,28.03,71.36,6.26,61.65,7.4,92.12,9.28,64.73,22.45,82.22,1.12,44,18.56,27.52,0.16,1.03,0.13,0,0.13,66.67,0.65,2,62.92,3.66,36.81,0.27,33.33,0.99,1.17,4.37,71.79,0,,0,,0,0,0,0,,,0.29,,,0,0,0,0,0,0
A. O'Brien,Gillingham,Gillingham,"LW, CF, LAMF",29,450000,2024-06-30,14,861,2,1.9,0,0.24,27.18,38.08,England,"England, Republic of Ireland",right,180,72,yes,4.91,3.66,62.86,6.69,40.63,0.1,0.17,0,2.51,4.02,1.05,2,0.21,0,0,2.82,0.21,2,0.21,0.2,0,0,19,1.99,47.37,10.526,0,0.94,0,0.63,0,0.21,0,0.1,3.87,48.65,10.77,30.1,4.08,0.52,0.42,13.28,1.36,1.15,24.15,72.73,8.15,57.69,5.44,88.46,5.54,81.13,22.06,77.73,1.15,36.36,15.17,21.73,0.03,0.63,0,0,0.31,0,0.31,1.88,44.44,1.99,36.84,0.52,20,1.05,0,2.4,52.17,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0.1,0,0
J. Armer,Carlisle United,Carlisle United,"LB, LWB",22,450000,2026-06-30,46,4477,2,3.45,5,5.79,19.36,50.99,England,"England, Scotland",left,185,74,no,9.11,6.09,67.33,6.29,49.52,0.24,0.35,0.26,4.76,6.9,0.7,7,0.14,0,0,1.69,0.04,2,0.04,0.07,0,0,30,0.6,36.67,6.667,0.1,3.1,28.57,3,27.52,0.1,60,0.44,0.92,56.52,2.53,45.24,1.25,0.7,0.18,18.76,1.75,0.84,30.42,64.71,14.05,55.08,3.8,93.12,8.08,67.16,22.49,75.6,4.95,36.99,21.29,35.29,0.12,0.8,0,0.04,0.16,37.5,0.4,5.93,46.78,2.89,40.28,0.18,55.56,0.52,0.94,8.56,75.35,0,,0,,0,0,0,0,,,0.44,,,0.08,0,0,0.86,0,0
J. Williams,Swindon Town,Swindon Town,"LWF, LCMF, LW",29,350000,2023-06-30,37,2998,10,6.31,2,3.42,19.99,47.15,England,"England, Wales",left,168,60,no,5.28,3.21,60.75,3.9,36.92,0.39,0.69,0.12,2.94,5.19,0.57,4,0.12,0,0,3.09,0.3,10,0.3,0.19,1,0.03,45,1.35,40,22.222,0.06,1.56,26.92,0.99,21.21,0.54,38.89,0.3,3.42,55.26,9.28,50.49,2.43,2.25,1.02,21.61,1.77,2.55,32.42,79.17,9.37,63.78,6.48,93.52,10.27,83.33,28.55,85.7,2.34,33.33,17.02,31.92,0.1,1.02,0.06,0,0.39,61.54,0.24,4.08,66.18,2.34,44.87,0.99,33.33,1.2,0.48,4.65,76.77,0,,0,,0,0,0,0,,,0.06,,,0.06,0.06,0,1.41,0,0
C. Oduor,Hartlepool United,Hartlepool United,"RW, LWB",23,300000,2023-06-30,11,585,1,0.6,1,0.99,19.38,50.79,Kenya,"Kenya, England",left,176,70,yes,8.92,5.69,72.97,3.38,22.73,0.15,0.22,0.15,4.62,6.72,0.15,0,0,0,0,4.46,0.15,1,0.15,0.09,0,0,9,1.38,33.33,11.111,0.15,2.46,37.5,2,46.15,0.46,0,0.31,4.31,64.29,7.85,56.86,2.62,1.85,0.92,19.08,2.15,0.77,31.08,81.68,7.85,68.63,8.62,98.21,10.15,78.79,26.77,86.21,1.85,75,17.07,18.61,0.15,1.08,0,0,0.31,100,0.31,2.46,68.75,2.92,68.42,0.31,100,1.54,0.92,4.92,81.25,0,,0,,0,0,0,0,,,0,,,0.46,0.15,0,0.15,0,0
F. Back,Carlisle United,Carlisle United,"RB, RWB",20,300000,2024-06-30,18,1598,0,1.2,2,1.89,22.87,47.29,England,England,right,188,72,yes,9.01,8.67,57.79,5.41,51.04,0.34,0.47,0.11,3.66,5.04,0.96,2,0.11,0,0,2.25,0,0,0,0.07,0,0,10,0.56,60,0,0.11,1.63,24.14,0,0,1.58,25,0.34,3.1,47.27,6.14,35.78,1.58,1.01,0.11,16.39,1.35,0.51,26.36,67.31,11.1,50.76,4.22,88,6.87,84.43,21.29,76.72,3.44,29.51,19.82,36.7,0.11,0.84,0.06,0.06,0.17,33.33,0.51,5.52,54.08,1.8,43.75,0.51,33.33,0.68,0.39,7.04,65.6,0,,0,,0,0,0,0,,,0.23,,,0,0,0,0,0,0
B. Sambou,Oldham Athletic,Crewe Alexandra,"LAMF, CF, AMF",25,300000,2023-06-30,27,1842,0,3.33,0,0.3,33.86,32.18,Germany,"Germany, England",right,184,75,yes,5.52,4.06,60.24,10.31,29.38,0.34,0.5,0.1,2.74,4,1.71,3,0.15,1,0.05,1.66,0,0,0,0.16,0,0,31,1.51,19.35,0,0,0.64,23.08,0.44,22.22,0.2,25,0.15,2.54,46.15,12.46,32.16,2.39,1.12,0.39,9.38,2.05,2.05,16.27,73.57,3.03,58.06,4.93,92.08,4.74,72.16,14.66,77,1.03,52.38,15.83,19.85,0.01,0.39,0.1,0,0.2,25,0.1,1.12,52.17,0.88,38.89,0.29,0,0.34,0.15,1.56,43.75,0,,0,,0,0,0,0,,,0.1,,,0.05,0.05,0,0,0,0
S. Hoskins,Northampton Town,Northampton Town,"LW, CF, LWF",30,300000,2024-06-30,41,3941,22,15.34,8,3.63,16.05,41.82,England,England,right,173,67,no,5.75,3.88,54.12,3.77,36.97,0.05,0.07,0.07,3.61,5.8,0.82,7,0.16,0,0,3.31,0.5,20,0.46,0.35,2,0.05,132,3.01,45.45,16.667,0.18,1.58,34.78,0.5,54.55,1.05,26.09,0.25,2.6,50.88,5.94,40,2.81,0.62,0.59,12.47,1.6,1.07,19.21,66.11,7.13,53.53,2.81,88.62,5.87,69.65,14.78,75.73,2.99,34.35,19.94,32.56,0.08,0.73,0,0.02,0.25,27.27,0.25,3.31,54.48,2.15,42.55,0.78,17.65,0.62,0.55,4.32,69.31,0,,0,,0,0,0,0,,,0.21,,,0.96,0.3,38.46,1.62,3,66.667
L. Chalmers,Tranmere Rovers,Tranmere Rovers,"RW, LW",23,300000,2024-05-31,13,532,0,0.92,0,0.27,19.96,36.44,Scotland,Scotland,left,175,68,yes,6.94,6.26,43.24,1.86,9.09,0,0,0,4.23,5.95,1.35,0,0,0,0,3.05,0,0,0,0.15,0,0,12,2.03,8.33,0,0,2.2,7.69,0.51,0,1.69,10,0.85,5.75,41.18,8.97,41.51,1.52,2.03,1.02,17.59,1.86,1.35,26.9,72.33,8.29,63.27,5.92,91.43,7.95,78.72,22.33,79.55,2.37,64.29,18.47,32.15,0.05,0.68,0,0,0.68,50,0.17,3.38,60,2.2,30.77,0.85,20,0.51,0.34,5.58,66.67,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0,0,0
