Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Clarke,Sunderland,Sunderland,"LAMF, LWB",22,4000000,2026-06-30,20,1329,1,2.86,3,1.67,25.87,44.5,England,England,right,181,74,no,5.35,5.69,55.95,2.23,21.21,0.41,0.73,0,1.76,3.15,1.35,4,0.27,0,0,6.98,0.07,1,0.07,0.19,0,0,27,1.83,29.63,3.704,0.2,4.06,26.67,3.45,25.49,0.61,33.33,0.74,8.87,58.02,15.24,48,3.59,3.86,1.02,19.23,1.35,1.56,28.85,77.7,5.69,61.9,5.82,97.67,11.99,74.58,22.14,89.91,2.98,52.27,19.74,27.09,0.11,1.56,0.07,0,0.54,37.5,0.68,2.44,58.33,3.79,37.5,0.88,23.08,1.15,1.22,3.72,81.82,0,,0,,0,0,0,0,,,0,,,0.81,0.2,33.33,1.22,0,0
S. Twine,Burnley,Milton Keynes Dons,"LWF, AMF",23,2500000,2026-06-30,47,4374,20,13.65,11,8.99,17.86,42.97,England,England,right,174,69,no,3.91,3.81,58.92,0.74,5.56,0,0,0,1.67,2.61,0.43,3,0.06,0,0,4.01,0.41,20,0.41,0.28,0,0,152,3.13,41.45,13.158,0.23,0.7,35.29,0.6,34.48,0.1,40,0.08,3.66,54.49,10.08,43.88,2.26,1.77,0.78,23.64,1.03,2.45,29.73,80.62,7.94,62.44,7.8,94.2,9.05,84.32,26.67,84.26,2.37,53.04,17.46,30.61,0.19,1.52,0.12,0.04,1.19,39.66,0.62,4.4,62.15,2.35,55.26,1.63,39.24,1.17,0.25,4.63,79.56,0,,0,,0,0,0,0,,,0.12,,,1.28,0.74,52.78,2.61,1,0
P. Roberts,Sunderland,Sunderland,"RAMF, CF, LWB",25,1800000,2024-06-30,17,967,2,2.32,1,1.42,26.62,41.61,England,England,left,167,64,no,4.65,3.91,64.29,1.3,21.43,0.09,0.17,0,2.05,3.73,0.28,1,0.09,0,0,7.82,0.19,2,0.19,0.22,0,0,21,1.95,33.33,9.524,0.09,2.23,29.17,0.65,42.86,1.49,25,0.56,10.61,53.51,17.4,40.11,3.82,5.58,1.95,22.52,0.47,1.3,30.99,80.18,7.45,75,6.89,91.89,9.03,77.32,27.83,84.28,0.93,80,15.52,16.65,0.13,1.58,0.09,0,1.86,45,0.65,2.79,86.67,3.07,57.58,1.21,23.08,1.58,0.74,4.56,85.71,0,,0,,0,0,0,0,,,0.19,,,0.09,0,0,0.84,0,0
C. Lang,Wigan Athletic,Wigan Athletic,"RAMF, AMF, CF",24,1200000,2025-06-30,42,3855,15,9.29,7,5.08,30.33,36.18,England,England,right,180,70,no,5.23,5.16,52.04,3.13,30.6,0.16,0.26,0.02,2.38,3.74,1.87,12,0.28,0,0,4.83,0.35,15,0.35,0.22,2,0.05,93,2.17,40.86,16.129,0.16,2.68,26.09,0.07,0,2.61,26.79,0.37,6.84,45.73,15.41,35.3,3.5,2.22,1.56,10.72,0.93,1.68,17.51,69.6,3.62,64.52,4.46,85.86,5.58,67.36,13.98,79.13,1.07,43.48,18.99,27.71,0.12,0.82,0.09,0,0.21,55.56,0.42,1.42,59.02,2.01,47.67,0.19,37.5,0.86,0.61,2.38,71.57,0,,0,,0,0,0,0,,,0,,,0.09,0.07,33.33,0.16,0,0
M. Whittaker,Plymouth Argyle,Lincoln City,"RW, RAMF, RWF",22,1000000,2025-06-30,20,1618,5,3.72,1,2.29,20.97,46.42,England,England,left,183,69,yes,6.01,5.45,53.06,1.5,40.74,0.33,0.46,0,2.78,3.82,0.89,2,0.11,1,0.06,5.45,0.28,5,0.28,0.21,0,0,43,2.39,37.21,11.628,0.06,1.45,11.54,0.5,11.11,0.95,11.76,0.22,7.34,54.55,11.68,46.19,2.11,3.11,1.17,21.64,2.39,1.11,28.59,76.85,6.79,63.93,5.23,92.55,10.46,78.72,25.03,81.78,2.34,57.14,18.35,34.73,0.13,0.39,0,0.06,0.83,46.67,0.39,3.34,66.67,1.89,50,0.78,35.71,0.95,0.22,4.39,72.15,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0.44,0,0
J. Rudoni,Huddersfield Town,AFC Wimbledon,"RAMF, LAMF, AMF",21,1000000,2026-06-30,41,3610,12,9.91,2,2.86,24.36,42.99,England,England,left,185,77,no,8.35,6.23,61.2,6.06,32.51,0.32,0.46,0.17,4.21,5.93,1.05,3,0.07,0,0,3.47,0.3,12,0.3,0.25,6,0.15,78,1.94,41.03,15.385,0.05,1.47,33.9,0.77,38.71,0.67,25.93,0.1,3.47,54.68,7.63,41.5,2.19,1.35,0.62,14.66,1.32,1,23.86,75.34,7.25,60.82,6.71,91.45,5.51,75.57,20.67,80.82,1.77,43.66,16.67,26.52,0.07,0.65,0,0,0.5,55,0.3,2.84,61.4,1.8,47.22,0.5,50,0.6,0.57,3.66,65.31,0,,0,,0,0,0,0,,,0.12,,,0.07,0.05,0,0,0,0
M. Sykes,Bristol City,Oxford United,"RW, RWB, RCMF",25,900000,2025-06-30,40,3454,8,4.69,5,5.86,19.96,47.39,Northern Ireland,"Northern Ireland, Republic of Ireland",right,182,78,no,6.85,5.97,62.01,3.02,33.62,0.05,0.08,0.1,3.1,4.9,0.91,5,0.13,0,0,4.46,0.21,8,0.21,0.12,1,0.03,60,1.56,35,13.333,0.13,3.7,28.17,0.39,40,3.28,26.98,0.68,4.2,61.49,7.9,45.54,2.68,1.9,1.15,20.17,1.67,0.91,29.94,75.72,7.3,64.29,7.37,96.47,9.54,69.95,24.21,84.28,2.32,56.18,19.19,34.76,0.15,1.07,0,0.03,0.63,45.83,0.57,3.54,62.5,3.34,45.31,0.44,35.29,0.99,0.86,4.92,78.31,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0.1,0,0
L. Dajaku,St. Gallen,Sunderland,"RAMF, RW, LWB",21,900000,2024-06-30,22,1322,4,1.94,3,1.96,24.92,43.99,Germany,"Germany, Kosovo",right,180,75,yes,7.15,7.15,63.81,1.02,26.67,0,0,0.14,2.59,4.01,0.82,1,0.07,0,0,5.72,0.27,4,0.27,0.13,0,0,23,1.57,30.43,17.391,0.2,4.29,30.16,1.57,17.39,2.72,37.5,0.95,7.08,52.88,12.53,40.22,3.47,2.59,1.02,19.88,3.06,0.48,28.39,70.5,6.13,60,8.1,89.92,7.9,62.07,23.01,79.59,1.16,35.29,19.24,20.73,0.13,1.09,0.07,0,0.61,33.33,0.68,2.45,41.67,3.47,43.14,0.54,37.5,0.82,1.43,5.51,69.14,0,,0,,0,0,0,0,,,0.2,,,0.14,0,0,0.68,0,0
J. McClean,Wigan Athletic,Wigan Athletic,"LAMF, LWB, LB",33,800000,2023-06-30,33,2916,9,4.43,7,5.66,23.21,51.6,Northern Ireland,"Northern Ireland, Republic of Ireland",left,180,70,no,7.9,6.73,56.42,3.92,51.97,0.34,0.55,0.03,3.77,6.08,1.45,6,0.19,1,0.03,6.05,0.28,9,0.28,0.14,0,0,52,1.6,44.23,17.308,0.22,4.63,36,3.98,34.88,0.62,40,0.62,5.34,67.05,8.33,53.33,2.62,2.53,1.39,19.07,1.11,0.56,30.59,70.74,9.29,59.8,5.8,95.74,10.62,69.19,22.56,83.17,3.67,36.13,21.5,36.54,0.17,1.42,0.12,0.03,0.19,50,0.52,4.17,55.56,3.46,49.11,0.52,35.29,0.34,1.6,6.42,69.23,0,,0,,0,0,0,0,,,0.06,,,0.37,0.09,0,3.4,0,0
J. Martin,Barnsley,Doncaster Rovers,"LW, AMF, LAMF",21,800000,2023-06-30,25,1765,4,4,3,2.76,22.08,45.96,England,"England, Republic of Ireland",right,177,70,yes,6.83,6.53,63.28,1.02,20,0,0,0,2.7,3.61,0.56,0,0,0,0,4.95,0.2,4,0.2,0.2,0,0,51,2.6,39.22,7.843,0.15,0.41,50,0.2,50,0.15,33.33,0.1,6.02,56.78,11.63,41.23,1.78,3.42,1.63,18.76,0.87,0.87,27.18,81.24,8.62,68.05,6.68,92.37,6.88,89.63,25.34,84.51,1.43,32.14,16.25,19.4,0.14,1.38,0,0,0.92,33.33,0.56,2.8,65.45,2.24,65.91,0.97,31.58,1.78,0.2,5,67.35,0,,0,,0,0,0,0,,,0.05,,,0.66,0.25,40,0.82,0,0
