Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Raphinha,Barcelona,Leeds United,"RW, RAMF",26,50000000,2027-06-30,35,3143,11,9.9,3,6.25,20.02,43.92,Brazil,"Brazil, Italy",left,176,68,no,6.82,5.58,51.79,1.66,39.66,0.34,0.47,0.06,3.58,4.88,1.09,7,0.2,0,0,4.72,0.31,7,0.2,0.28,0,0,86,2.46,30.23,12.791,0.09,2.41,28.57,0.54,31.58,1.83,28.13,0.4,5.73,51,10.62,43.13,3.26,2.58,1.2,23.77,2.72,1.35,30.84,67.87,8.76,54.58,5.64,85.28,11.37,70.28,24.6,74.85,3.95,47.83,20.01,39.34,0.18,1.37,0.06,0,1.29,28.89,0.57,5.21,54.95,3.89,42.65,2,20,1.63,0.6,6.99,77.87,0,,0,,0,0,0,0,,,0.09,,,1.12,0.29,30,2.18,4,100
A. Gordon,Newcastle United,Everton,"RW, LW",22,40000000,2025-06-30,35,2479,4,4.16,3,3.7,24.07,48.27,England,England,right,183,74,no,8.28,6.93,63.35,2.4,28.79,0.29,0.33,0.15,3.59,4.12,0.84,4,0.15,0,0,4.61,0.15,4,0.15,0.15,0,0,43,1.56,39.53,9.302,0.11,2.8,28.57,0.98,33.33,1.82,26,0.29,5.23,60.42,11.44,47.94,2.03,2.36,1.85,16.12,1.05,2.29,23.05,74.17,5.34,56.46,5.85,94.41,7.19,70.71,19.5,81.94,1.02,42.86,16.34,19.01,0.13,1.02,0,0,0.33,11.11,0.25,1.67,60.87,2.43,46.27,0.33,22.22,0.58,0.69,3.45,70.53,0,,0,,0,0,0,0,,,0,,,1.05,0.18,0,1.78,0,0
E. Smith-Rowe,Arsenal,Arsenal,"LAMF, LW, AMF",22,38000000,2026-06-30,33,2080,10,5.29,2,2.45,11.99,44.4,England,England,right,182,72,no,4.15,2.99,66.67,1.25,20.69,0.35,0.47,0.04,1.82,2.44,0.22,1,0.04,0,0,2.81,0.43,10,0.43,0.23,0,0,38,1.64,60.53,26.316,0.09,1.3,20,0.82,21.05,0.48,18.18,0.13,2.6,50,6.06,40.71,2.38,2.21,1.9,25.75,1.13,0.91,32.75,86.92,6.49,76,9.43,96.33,9.87,85.53,30.55,90.65,0.95,54.55,16.07,17.09,0.11,1,0.04,0.04,0.56,46.15,0.26,2.42,76.79,2.12,51.02,0.43,30,1.08,0.26,3.33,74.03,0,,0,,0,0,0,0,,,0.17,,,0.04,0,0,1.08,0,0
J. Bowen,West Ham United,West Ham United,"RAMF, RW, CF",26,38000000,2025-06-30,36,3204,12,10.34,10,5.89,19.97,41.07,England,"England, Wales",left,175,70,no,6.1,4.58,60.74,3.54,32.54,0.34,0.41,0.11,2.98,3.65,0.62,6,0.17,0,0,3.54,0.34,12,0.34,0.29,2,0.06,78,2.19,43.59,15.385,0.28,1.85,22.73,0.17,0,1.6,22.81,0.28,3.79,50.37,9.72,37.57,3.51,1.57,0.84,14.8,1.21,1.24,19.66,75.57,4.1,60.27,4.69,91.02,6.4,77.63,16.63,82.77,1.18,57.14,17.87,25.04,0.17,1.21,0.03,0.08,0.39,64.29,0.45,1.32,55.32,1.66,44.07,0.28,50,0.65,0.45,2.47,61.36,0,,0,,0,0,0,0,,,0.08,,,0.45,0.03,0,2.42,0,0
P. Pogba,Juventus,Manchester United,"LAMF, RDMF, LDMF",30,35000000,2026-06-30,20,1458,1,2.12,4,1.84,26.42,43.69,France,"France, Guinea",both,191,84,no,7.1,6.17,47,3.83,53.23,1.05,1.54,0,3.15,4.62,2.35,7,0.43,1,0.06,3.21,0.06,1,0.06,0.13,0,0,29,1.79,27.59,3.448,0.25,1.11,22.22,0.49,37.5,0.56,11.11,0.19,2.9,65.96,12.22,40.4,2.28,1.3,0.49,38.95,1.36,1.85,51.85,84.4,15.31,72.98,6.42,87.5,20.74,92.56,45.43,88.59,5.37,60.92,18.12,41.72,0.11,0.99,0,0.06,0.86,64.29,0.56,9.26,78.67,2.65,55.81,1.73,46.43,1.73,0.25,7.72,79.2,0,,0,,0,0,0,0,,,0.12,,,0,0,0,0.06,0,0
W. Zaha,Crystal Palace,Crystal Palace,"LWF, LAMF, LW",30,32000000,2023-06-30,33,2975,14,10.24,2,5.04,33.49,40.92,Côte d'Ivoire,"Côte d'Ivoire, England",right,180,66,no,5.42,6.05,60,1.36,22.22,0.09,0.12,0,1.69,2.32,1.18,5,0.15,1,0.03,7.26,0.42,9,0.27,0.31,1,0.03,70,2.12,47.14,20,0.06,2,42.42,1.72,45.61,0.24,25,0.45,8.26,57.51,22.05,39.51,2.96,2.81,0.79,19.36,2.21,2.96,27.8,79.65,6.26,65.7,8.11,94.78,8.32,78.91,25.02,83.92,0.79,38.46,16.52,17.71,0.15,1.09,0.09,0,1.06,62.86,0.7,1.82,66.67,3.27,68.52,0.79,57.69,1.85,0.82,5.05,79.04,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0.06,7,71.429
H. Barnes,Leicester City,Leicester City,"LAMF, LW, LWF",25,32000000,2025-06-30,32,2259,6,6.76,8,2.84,20.12,41.78,England,"England, Scotland",right,174,66,no,3.82,3.78,51.58,2.71,33.82,0.04,0.05,0.04,1.83,2.5,0.76,2,0.08,0,0,5.74,0.24,6,0.24,0.27,0,0,59,2.35,37.29,10.169,0.32,2.47,25.81,2.35,25.42,0.08,50,0.28,6.45,59.88,10.44,45.42,4.9,3.9,1.2,23.03,2.51,0.8,28.65,78.44,6.81,67.84,8.21,95.63,7.29,73.22,25.02,85.67,1.27,31.25,14.6,16.95,0.11,1.08,0.12,0.04,0.72,50,0.52,2.23,62.5,2.27,52.63,0.72,27.78,1.27,0.64,3.82,78.13,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0,0,0
R. Mahrez,Manchester City,Manchester City,"RWF, RAMF",32,30000000,2025-06-30,28,1640,11,11.61,3,3.61,17.07,45.66,France,"France, Algeria",left,179,67,no,4.01,3.29,63.33,1.48,40.74,0.11,0.22,0.05,1.81,3.63,0.49,0,0,0,0,6.15,0.6,7,0.38,0.64,0,0,62,3.4,38.71,17.742,0.16,3.73,36.76,0.05,100,3.46,36.51,0.66,5.21,61.05,10.59,40.93,5.93,3.29,1.26,36.77,3.35,0.82,45.11,87.1,6.15,83.04,12.9,96.17,18.44,83.04,39.95,92.58,1.54,60.71,16.96,18.56,0.2,1.87,0.05,0.11,0.49,55.56,0.55,1.98,83.33,4.45,58.02,0.77,42.86,2.03,1.48,5.16,84.04,0,,0,,0,0,0,0,,,0.11,,,0.55,0.33,50,3.68,5,80
M. Gibbs-White,Nottingham Forest,Wolverhampton Wanderers,"RW, RWF",23,30000000,2027-06-30,2,19,0,0.17,0,0,,,England,"England, Jamaica",right,171,70,no,,,,,,,0,,,15,,1,,0,,,,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
S. Bergwijn,Ajax,Tottenham Hotspur,"LWF, CF",25,27000000,2027-06-30,25,718,3,3,1,1.13,19.68,36.94,Netherlands,"Netherlands, Suriname",right,178,78,no,3.13,3.89,54.84,0.63,40,0,0,0,1,1.5,1.13,1,0.13,0,0,4.01,0.38,3,0.38,0.38,0,0,18,2.26,61.11,16.667,0.13,1.38,36.36,1,25,0.25,50,0,4.01,46.88,12.16,35.05,4.51,2.88,1.88,15.42,1.63,1.13,21.06,82.14,4.26,79.41,6.39,96.08,4.14,66.67,19.3,86.36,0.38,33.33,13.3,3.06,0.14,0.88,0,0,0.5,50,0.5,1.63,100,1.38,45.45,0.5,25,1,0.63,1.88,73.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0.13,0,0
