Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Rutter,Leeds United,Leeds United,CF,21,22000000,2028-06-30,15,1377,3,5.01,4,4.41,28.76,38.86,France,"France, Martinique",left,182,83,no,3.66,3.99,49.18,3.27,50,0.2,0.27,0,1.5,2.09,1.31,3,0.2,0,0,5.56,0.2,3,0.2,0.33,0,0,34,2.22,47.06,8.824,0.26,0.65,30,0.52,25,0.13,50,0.2,7.12,51.38,17.12,37.4,3.66,1.76,0.52,11.83,0.78,1.63,18.5,72.79,6.08,63.44,3.59,87.27,5.42,71.08,16.73,75.78,1.18,50,16.25,26.53,0.29,1.57,0.07,0.07,1.24,52.63,1.31,2.81,55.81,2.68,51.22,1.05,56.25,2.16,0.2,2.68,92.68,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Adams,Southampton,Southampton,CF,27,22000000,2024-06-30,13,723,3,3.18,2,0.91,11.7,39.36,England,"England, Scotland",right,175,70,no,2.12,1.99,56.25,2.24,27.78,0.25,0.4,0.12,0.75,1.21,1.24,3,0.37,0,0,2.49,0.37,3,0.37,0.4,0,0,15,1.87,53.33,20,0.25,0,0,0,0,0,0,0,1.12,88.89,5.98,39.58,2.99,0.25,0.12,15.81,1.37,1,18.8,74.83,4.98,55,3.36,92.59,6.22,84,18.05,75.17,0.75,66.67,13.98,20.72,0.11,0.87,0,0,1.12,44.44,0.37,2.49,60,1,75,1.12,44.44,1.62,0,1.99,68.75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Iheanacho,Leicester City,Leicester City,CF,27,17000000,2024-06-30,16,766,5,5.13,1,1.23,21.97,23.53,Nigeria,Nigeria,left,185,82,no,2.23,2.82,50,1.41,8.33,0,0,0,0.82,1.32,1.06,1,0.12,0,0,2.58,0.59,3,0.35,0.6,0,0,27,3.17,33.33,18.519,0.12,0.35,33.33,0.35,33.33,0,0,0.12,3.88,30.3,14.69,22.4,3.99,1.29,0.35,27.73,1.76,1.17,33.84,86.46,4.7,70,12.34,96.19,8.11,84.06,32.9,87.5,0.7,50,13.51,15.69,0.14,1.17,0,0,0.23,100,0.59,1.76,86.67,1.76,46.67,0.23,100,1.17,0.12,1.76,66.67,0,,0,,0,0,0,0,,,0.47,,,0.12,0.12,0,0.12,2,100
J. Sargent,Norwich City,Norwich City,CF,23,12000000,2025-06-30,4,304,3,2.17,0,0.42,16.88,45.61,United States,United States,right,185,79,no,3.26,2.07,57.14,2.37,62.5,0,0,0.3,2.07,2.69,0,0,0,0,0,2.37,0.89,3,0.89,0.64,3,0.89,11,3.26,54.55,27.273,0,0.89,0,0.89,0,0,0,0,1.78,33.33,6.51,31.82,3.55,2.37,2.07,13.62,0.89,1.78,17.17,84.48,3.26,72.73,6.22,90.48,4.44,100,15.99,88.89,0.3,100,18.78,9.62,0.12,0.89,0,0,0.3,0,0.3,1.18,75,1.48,80,0.3,0,1.48,0,1.48,80,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Alcaraz,Southampton,Southampton,"CF, LCMF",20,12000000,2028-06-30,14,868,1,3.18,0,0.39,17.21,43.37,Argentina,Argentina,right,183,68,no,6.12,5.29,58.82,2.7,50,0,0,0,3.01,5.18,0.73,3,0.31,0,0,3.21,0.1,1,0.1,0.33,0,0,28,2.9,46.43,3.571,0,0.83,12.5,0.21,0,0.62,16.67,0.21,3.84,40.54,6.84,33.33,2.38,1.56,0.41,35.56,0.73,1.04,41.37,83.46,9.33,67.78,9.33,98.89,14.1,83.82,38.57,86.29,2.18,52.38,17.57,35.76,0.04,0.62,0,0,1.04,20,0.21,4.15,70,2.9,57.14,0.62,16.67,1.56,0.1,4.25,73.17,0,,0,,0,0,0,0,,,0.41,,,0.41,0.31,66.67,0.1,0,0
S. Mara,Southampton,Southampton,"CF, RWF",21,12000000,2026-06-30,8,242,0,0.61,0,0,27.52,37.84,France,"France, Senegal",right,183,70,no,5.21,5.21,85.71,4.09,45.45,0,0,0.37,0.74,1.67,1.86,1,0.37,0,0,2.6,0,0,0,0.23,0,0,5,1.86,40,0,0,0.37,0,0.37,0,0,0,0,4.83,38.46,15.62,26.19,3.35,1.86,0.37,15.62,0.74,2.23,20.83,75,3.35,55.56,6.32,88.24,6.69,77.78,19.71,79.25,1.12,0,17.14,11.79,0,0.37,0.37,0,0,0,0,1.86,60,0.37,100,0,0,0.37,0,2.23,33.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Armstrong,Southampton,Southampton,"CF, RWF, LCMF",26,12000000,2025-06-30,16,1486,9,6.46,2,1.98,10.48,39.31,England,England,right,172,69,no,2.85,2.73,44.44,0.79,53.85,0.36,0.59,0.06,1.27,2.07,0.61,2,0.12,0,0,2.66,0.55,7,0.42,0.39,1,0.06,39,2.36,41.03,23.077,0.12,1.64,25.93,0.55,22.22,1.03,29.41,0,2.36,51.28,5.57,40.22,4.6,1.15,0.91,17.62,0.73,0.61,22.35,81.84,4.48,67.57,7.57,96,4.91,80.25,20.47,86.98,0.3,20,15.5,8.46,0.12,1.03,0,0,0.3,20,0.48,1.39,65.22,1.45,54.17,0.3,20,0.91,0.48,1.64,77.78,0,,0,,0,0,0,0,,,0.06,,,0.06,0.06,100,0.06,2,100
P. Bamford,Leeds United,Leeds United,CF,30,10000000,2026-06-30,8,154,0,1.28,0,0.42,21.04,41.67,England,"England, Republic of Ireland",left,185,71,no,4.09,3.51,66.67,3.51,33.33,0.58,1.25,0,1.17,2.5,2.92,0,0,0,0,7.01,0,0,0,0.75,0,0,6,3.51,50,0,0,1.17,100,0.58,100,0.58,100,0,4.09,100,8.77,60,5.26,1.17,0,8.18,2.34,1.75,15.19,73.08,4.09,71.43,1.75,100,4.09,71.43,14.03,70.83,0,0,8.06,0,0.25,0.58,0,0,0.58,0,1.17,0.58,100,1.17,50,0,0,2.34,1.17,2.34,50,0,,0,,0,0,0,0,,,0,,,0.58,0.58,0,0,1,0
T. Dolan,Blackburn Rovers,Blackburn Rovers,"CF, LAMF, LW",21,6000000,2024-06-30,16,1081,2,2.84,2,2.98,14.57,37.14,England,England,right,170,55,no,4,3.66,59.09,0.75,22.22,0.08,0.11,0,1.75,2.4,0.67,2,0.17,0,0,3.08,0.17,2,0.17,0.24,0,0,16,1.33,37.5,12.5,0.17,1.67,30,0.67,50,1,16.67,0.25,3.25,51.28,8.66,30.77,3.91,2.5,1.25,29.81,1.75,0.75,40.38,86.39,10.74,78.29,11.16,95.52,9.41,83.19,37.55,89.58,1.17,64.29,15.63,24.92,0.25,1.83,0.17,0,0.92,45.45,1,3.16,76.32,3.75,62.22,0.92,45.45,2.75,0.42,4.83,87.93,0,,0,,0,0,0,0,,,0.08,,,0,0,0,1.42,0,0
M. Núñez,Norwich City,Norwich City,"CF, RCMF, AMF",23,6000000,2026-06-30,8,368,0,0.59,0,0.05,14.92,39.34,Chile,Chile,right,173,73,no,6.36,6.11,44,1.71,28.57,0.73,0.99,0,2.93,3.96,1.96,3,0.73,0,0,2.45,0,0,0,0.14,0,0,14,3.42,35.71,0,0,1.47,33.33,0.24,0,1.22,40,0.49,0.98,75,5.63,47.83,1.96,0.73,0.24,28.61,0.49,0.24,38.15,82.69,9.54,71.79,5.87,95.83,16.39,83.58,32.04,88.55,4.65,57.89,17.86,30.25,0.01,0.49,0.24,0,0.24,0,0,6.85,67.86,2.93,41.67,1.22,20,0.73,0.73,4.65,84.21,0,,0,,0,0,0,0,,,0.24,,,0.24,0.24,100,2.45,0,0
H. Wright,Coventry City,Coventry City,"CF, LWF",25,6000000,2025-06-30,16,914,4,6.75,2,1.1,23.73,30.29,United States,"United States, Liberia",right,193,90,no,3.74,4.43,46.67,4.33,25,0.1,0.13,0.1,1.58,2.07,2.07,0,0,0,0,3.05,0.39,4,0.39,0.67,1,0.1,33,3.25,30.3,12.121,0.2,0.98,30,0.89,22.22,0.1,100,0,4.23,41.86,10.73,28.44,4.43,1.97,0.69,9.75,1.28,0.69,11.03,70.54,1.97,70,3.05,90.32,3.45,62.86,9.85,75,0.2,50,14.96,4.27,0.11,0.49,0,0,0.1,0,0.2,1.18,66.67,1.38,42.86,0.1,0,0.59,0.3,0.89,88.89,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
O. Estupiñán,Hull City,Hull City,"CF, AMF, RAMF",26,5000000,2025-06-30,4,103,0,0.07,0,0.04,22.72,30.77,Colombia,Colombia,left,182,76,no,4.37,3.5,50,9.61,36.36,0.87,1.76,0.87,1.75,3.53,2.62,0,0,0,0,1.75,0,0,0,0.06,0,0,2,1.75,50,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0.87,0,0,14.85,2.62,0.87,17.48,70,4.37,40,7.86,100,3.5,50,17.48,70,0,0,14.29,0,0.03,0.87,0,0.87,0.87,100,0.87,0.87,0,1.75,50,0,0,0.87,0,1.75,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
L. Delap,Hull City,Hull City,CF,20,5000000,2026-06-30,16,1296,5,3.72,1,1.67,23.82,34.69,England,"England, Republic of Ireland",right,186,77,yes,3.06,2.36,55.88,1.94,32.14,0.21,0.28,0.14,1.53,2.04,0.83,3,0.21,0,0,4.86,0.35,5,0.35,0.26,0,0,29,2.01,37.93,17.241,0.07,0.97,42.86,0.21,66.67,0.76,36.36,0.21,6.18,56.18,15.49,38.12,3.26,3.26,1.04,9.17,1.94,2.15,11.11,73.75,2.22,59.38,2.22,93.75,4.17,76.67,9.38,77.04,0.76,72.73,17.85,19.82,0.12,0.76,0,0,0.42,50,0.42,1.81,76.92,0.83,66.67,0.56,62.5,0.97,0.35,1.46,76.19,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
