Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Scarlett,Portsmouth,Portsmouth,"CF, LAMF",19,2000000,2026-06-30,31,1783,5,4.41,1,1.05,24.99,28.69,England,"England, Jamaica",right,179,73,yes,4.09,4.14,50,4.9,24.74,0.4,0.7,0,1.62,2.8,1.97,4,0.2,0,0,2.98,0.25,5,0.25,0.22,2,0.1,42,2.12,33.33,11.905,0.05,0.86,35.29,0.4,37.5,0.45,33.33,0.2,3.99,46.84,11,27.52,3.63,1.41,0.81,7.87,1.36,1.62,10.6,72.86,2.02,55,2.88,87.72,2.78,78.18,9.09,77.78,0.66,53.85,18.01,13.94,0.05,0.3,0,0,0.2,50,0.2,1.11,50,0.86,52.94,0.25,40,0.5,0.3,1.31,80.77,0,,0,,0,0,0,0,,,0,,,0.1,0.1,0,0,0,0
J. Clarke-Harris,Peterborough United,Peterborough United,CF,28,1200000,2024-06-30,37,3450,22,19.2,4,1.89,30.16,38.15,England,"England, Jamaica",left,183,78,no,3.5,2.53,53.61,10.83,43.37,0.18,0.28,0.21,1.96,3,1.51,1,0.03,0,0,1.85,0.57,18,0.47,0.5,5,0.13,101,2.63,45.54,21.782,0.1,0.39,6.67,0.23,11.11,0.13,0,0.08,0.99,50,7.17,32.73,2.95,0.29,0.1,8.74,1.98,1.54,14.61,65.54,4.02,51.3,3.26,85.6,3.81,66.44,13.64,67.69,0.6,52.17,14.95,20.45,0.05,0.42,0.05,0.03,0.26,50,0.18,2.27,50.57,0.7,37.04,0.29,36.36,0.47,0.05,2.09,65,0,,0,,0,0,0,0,,,0.03,,,0.31,0.31,41.67,0,5,80
D. N'Lundulu,Bolton Wanderers,Bolton Wanderers,CF,24,1200000,2024-06-30,28,2213,4,5.57,2,0.7,34.08,26.61,England,"England, Congo DR",right,185,75,yes,3.9,3.01,54.05,8.83,26.27,0,0,0.12,2.28,3.09,1.55,5,0.2,0,0,2.07,0.16,4,0.16,0.23,0,0,40,1.63,25,10,0.08,0.41,20,0.2,20,0.16,25,0.08,3.54,43.68,13.95,24.2,2.36,1.1,0.65,9.07,1.14,0.69,16.47,72.35,4.07,52,3.82,89.36,5.16,77.17,14.84,75.62,1.22,50,16.75,24.9,0.03,0.24,0,0,0.33,12.5,0.24,2.28,57.14,0.69,41.18,0.41,30,0.37,0.12,2.2,70.37,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. Small,Port Vale,Port Vale,"CF, LWB, RWB",18,1000000,2024-06-30,4,116,0,0,0,0,27.93,52.78,England,"England, Panama",left,177,68,yes,8.53,7.76,70,6.21,62.5,1.55,3.33,0,1.55,3.33,1.55,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,2.33,0,1.55,0,0.78,0,0.78,3.88,20,9.31,25,0.78,3.1,2.33,10.09,0.78,0,20.95,62.96,5.43,57.14,4.66,100,4.66,66.67,16.29,76.19,3.1,25,18.03,28.88,0,0,0,0,0.78,0,0,2.33,66.67,1.55,0,0,0,0,0.78,4.66,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Paterson,Sheffield Wednesday,Sheffield Wednesday,CF,28,1000000,2023-06-30,19,1074,3,2.3,1,0.49,25.22,42.52,England,"England, Scotland",right,187,76,no,5.03,4.19,62,8.63,42.72,0.42,0.58,0.08,2.01,2.8,1.51,5,0.42,0,0,1.59,0.25,3,0.25,0.19,0,0,24,2.01,29.17,12.5,0.08,1.26,20,0.42,20,0.75,22.22,0.17,1.76,42.86,5.61,38.81,2.77,0.75,0.34,10.39,1.34,1.42,15.75,53.72,6.45,49.35,1.76,80.95,5.03,53.33,12.57,60,2.01,33.33,17.35,18.93,0.04,0.59,0,0.17,0,0,0.17,3.02,50,1.26,33.33,0.17,0,0.42,0.25,3.44,48.78,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Cosgrove,Plymouth Argyle,Plymouth Argyle,CF,26,1000000,2024-06-30,27,1267,8,6.72,2,1.81,32.68,38.7,England,England,right,192,82,yes,2.84,2.42,47.06,12.22,50.58,0.07,0.12,0.07,1.63,2.85,2.42,5,0.36,0,0,2.84,0.57,7,0.5,0.48,1,0.07,38,2.7,39.47,21.053,0.14,1.35,26.32,0.36,20,0.92,23.08,0.43,1.99,64.29,7.46,39.05,4.33,0.5,0.28,11.58,2.13,1.85,17.9,69.84,3.98,42.86,4.55,92.19,5.33,68,15.7,74.21,0.85,58.33,16.02,13.53,0.13,0.57,0,0.14,0.28,50,0.43,1.56,59.09,1.35,47.37,0.28,50,0.43,0.43,1.99,53.57,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0.07,1,100
D. McGoldrick,Derby County,Derby County,"CF, AMF",35,1000000,2023-06-30,30,2148,16,12.14,5,3.22,30.71,37.11,England,"England, Republic of Ireland",right,183,74,no,5.2,4.19,58,7.5,39.11,0.8,1.37,0,1.97,3.4,1.55,4,0.17,0,0,4.32,0.67,13,0.54,0.51,0,0,70,2.93,51.43,22.857,0.21,1.26,26.67,0.54,23.08,0.67,31.25,0.13,4.23,51.49,11.82,31.56,3.56,1.17,0.38,14.75,2.01,0.5,24.3,71.03,6.91,53.94,5.45,92.31,7.46,74.72,21.45,74.61,1.72,58.54,17.75,23.23,0.13,0.8,0.04,0,1.01,29.17,0.46,3.14,56,2.05,42.86,0.8,26.32,0.84,0.34,2.89,79.71,0,,0,,0,0,0,0,,,0.17,,,0.13,0.13,66.67,0,4,75
J. Stockley,Fleetwood Town,Fleetwood Town,CF,29,900000,2025-06-30,34,2491,3,7.33,3,2.39,33.02,38.4,England,England,right,188,79,no,3.9,2.96,54.88,15.28,41.84,0.18,0.27,0.22,2.1,3.1,1.73,1,0.04,0,0,0.87,0.11,2,0.07,0.26,0,0,38,1.37,39.47,7.895,0.11,0.4,36.36,0.07,50,0.33,33.33,0.11,0.29,37.5,5.6,20,2.02,0.11,0,9.21,2.13,1.41,16.37,68.43,4.41,48.36,3,91.57,5.82,68.32,13.98,72.61,1.99,45.45,17.94,27.67,0.09,0.58,0,0.04,0.18,40,0.25,2.78,42.86,0.79,54.55,0.36,30,0.36,0.14,1.81,60,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,1,100
J. Marriott,Fleetwood Town,Fleetwood Town,CF,28,900000,2025-06-30,31,1608,5,8.36,3,1.75,23.17,29.47,England,England,right,173,71,no,3.86,4.03,52.78,4.25,18.42,0.06,0.08,0.11,1.68,2.49,1.51,1,0.06,0,0,3.64,0.28,5,0.28,0.47,0,0,65,3.64,32.31,7.692,0.17,1.06,31.58,0.39,28.57,0.67,33.33,0.28,3.64,52.31,10.13,32.6,4.81,0.95,0.39,9.96,1.85,0.73,13.38,73.22,2.63,46.81,3.41,88.52,4.59,73.17,11.98,78.04,0.39,28.57,16.79,8.13,0.1,0.56,0.06,0,0.45,50,0.45,1.4,56,0.95,52.94,0.39,42.86,0.56,0.39,1.46,65.38,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Wilks,Sheffield Wednesday,Sheffield Wednesday,"CF, RWF, RWB",24,800000,2023-06-30,12,467,1,0.69,3,0.44,31.41,33.74,England,England,left,183,73,no,3.47,3.47,38.89,5.4,42.86,0.39,0.63,0.58,1.73,2.81,1.54,1,0.19,0,0,4.43,0.19,1,0.19,0.13,0,0,10,1.93,40,10,0.58,1.54,12.5,0.19,0,1.16,16.67,0.77,6.36,51.52,17.34,28.89,4.63,2.31,0.58,11.37,2.31,1.35,18.31,68.42,6.55,58.82,3.28,94.12,3.47,72.22,16.19,72.62,0.77,75,12.7,12.89,0.09,0.77,0.19,0,0.39,50,0.77,2.7,57.14,1.54,25,0.39,100,0.96,0.19,3.08,68.75,0,,0,,0,0,0,0,,,0,,,0,0,0,0.39,0,0
