Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rúben Dias,Manchester City,Manchester City,"LCB, RCB, CB",26,75000000,2027-06-30,26,2166,0,1.61,0,0.09,10.89,61.83,Portugal,Portugal,right,187,82,no,6.98,4.03,75.26,3.7,56.18,0.42,0.71,0.54,3.53,6.07,0.71,3,0.12,0,0,0.33,0,0,0,0.07,0,0,7,0.29,14.29,0,0,0.08,0,0.04,0,0.04,0,0.04,0.37,77.78,0.96,56.52,0.75,1.25,0.12,66.61,0.33,0.29,81.32,94.74,28.09,89.05,3.7,92.13,42.42,98.63,75.37,97.52,5.86,60.28,19.25,34.36,0,0.04,0,0,0,0,0,8.85,82.63,0.29,28.57,0.5,50,0.08,0,9.6,83.55,0,,0,,0,0,0,0,,,2.41,,,0,0,0,0,0,0
W. Fofana,Chelsea,Chelsea,RCB,22,65000000,2029-06-30,14,1239,1,0.74,0,0.02,18.31,66.27,France,"France, Côte d'Ivoire",right,186,76,no,10.53,7.05,74.23,4.5,62.9,0.44,0.63,0.44,4.87,7.08,0.65,4,0.29,0,0,1.16,0.07,1,0.07,0.05,1,0.07,7,0.51,42.86,14.286,0,0.29,25,0,0,0.29,25,0.15,1.23,70.59,3.7,62.75,1.02,2.69,1.02,41.55,0.44,1.6,56.22,89.92,20.05,77.54,4.65,96.88,24.26,96.71,52.66,93.1,3.27,44.44,17.92,31.73,0,0.07,0.07,0,0.15,0,0.07,6.83,84.04,0.29,50,0.44,0,0.29,0.07,7.92,66.97,0,,0,,0,0,0,0,,,2.98,,,0,0,0,0,0,0
C. Romero,Tottenham Hotspur,Tottenham Hotspur,RCB,25,60000000,2027-06-30,27,2594,0,1.45,1,0.46,17.07,59.35,Argentina,Argentina,right,185,79,no,11.1,7.84,68.14,3.78,57.8,0.87,1.09,0.66,4.89,6.12,1.49,10,0.35,1,0.03,0.52,0,0,0,0.05,0,0,10,0.35,10,0,0.03,0.03,0,0,0,0.03,0,0,0.66,63.16,2.32,38.81,0.42,1.01,0.17,34.28,0.8,0.38,51.11,89.95,18.98,80.99,3.37,95.88,22.52,96.46,46.56,92.62,4.51,63.08,18.79,34.45,0.02,0.21,0.03,0,0.1,66.67,0.1,5.17,77.85,0.49,57.14,0.49,57.14,0.31,0,8.15,63.83,0,,0,,0,0,0,0,,,0.94,,,0,0,0,0,0,0
W. Saliba,Arsenal,Arsenal,RCB,22,50000000,2024-06-30,27,2647,2,0.82,0,0.18,12.21,59.05,France,"France, Cameroon",right,192,85,no,7.34,4.62,69.85,3.6,52.83,0.2,0.34,0.37,3.91,6.52,0.65,4,0.14,0,0,0.58,0.07,2,0.07,0.03,1,0.03,5,0.17,40,40,0,0.07,100,0.03,100,0.03,100,0,0.54,81.25,1.94,47.37,0.41,0.61,0.03,43.52,0.2,0.41,60.08,93.66,22.34,87.82,2.21,96.92,29.1,98.13,57.33,95.2,2.69,60.76,18.34,33.17,0.01,0.1,0,0,0,0,0.03,5.07,85.23,0.17,60,0.2,50,0.1,0.03,6.87,71.29,0,,0,,0,0,0,0,,,1.53,,,0,0,0,0,0,0
L. Martínez,Manchester United,Manchester United,LCB,25,50000000,2027-06-30,27,2276,1,0.59,0,0.21,15.74,60.8,Argentina,Argentina,left,178,77,no,12.46,7.75,68.88,2.69,47.06,0.43,0.59,1.03,6.68,9.12,0.87,6,0.24,0,0,0.79,0.04,1,0.04,0.02,1,0.04,8,0.32,12.5,12.5,0,0.08,50,0.08,50,0,0,0,0.79,90,2.37,50,0.43,0.47,0.04,38.32,0.12,0.4,55.2,88.18,21.2,75.56,4.51,96.49,24.12,96.23,48.88,93.28,6.25,48.73,21.2,41.09,0.01,0.2,0.04,0,0,0,0.08,7.2,63.74,0.75,26.32,1.34,20.59,0.16,0.04,7.2,68.13,0,,0,,0,0,0,0,,,3.4,,,0,0,0,0,0,0
Gabriel Magalhaes,Arsenal,Arsenal,LCB,25,50000000,2027-06-30,36,3553,3,4.05,0,0.02,13.98,57.25,Brazil,Brazil,left,190,87,no,7.35,4.1,66.67,5.45,55.35,0.28,0.45,0.51,4.33,7.03,0.61,4,0.1,0,0,0.38,0.08,3,0.08,0.1,1,0.03,25,0.63,36,12,0,0.1,25,0.1,25,0,0,0,0.2,50,1.29,39.22,0.79,0.89,0.03,40.58,0.28,0.89,53.3,91.63,20.9,85.45,2.1,93.98,24.17,96.54,49.27,95.01,3.95,50.64,19.35,39.17,0,0.05,0.03,0,0.08,33.33,0,5.93,77.78,0.43,23.53,0.41,25,0.13,0.03,7.6,74,0,,0,,0,0,0,0,,,1.34,,,0,0,0,0,0,0
S. Botman,Newcastle United,Newcastle United,LCB,23,45000000,2027-06-30,33,3136,0,2.38,0,0.29,11.48,60.25,Netherlands,Netherlands,left,193,85,no,8.06,4.39,68.63,3.59,56,0.29,0.44,0.63,4.76,7.25,0.37,2,0.06,0,0,0.14,0,0,0,0.07,0,0,12,0.34,41.67,0,0,0.03,0,0.03,0,0,0,0,0.06,0,0.75,34.62,0.86,0.23,0.09,28.41,0.32,0.34,43.13,89.69,15.58,81.4,2.21,90.91,21.93,96.6,38.31,92.96,4.79,64.07,21.09,39.34,0.01,0.06,0,0,0,0,0.03,2.98,66.35,0.23,25,0.09,0,0.26,0,5.45,62.63,0,,0,,0,0,0,0,,,1.61,,,0,0,0,0,0,0
V. van Dijk,Liverpool,Liverpool,LCB,31,45000000,2025-06-30,31,2991,3,3.55,1,1.16,11.95,68.51,Netherlands,"Netherlands, Suriname",right,193,92,no,8.46,4.06,77.04,4.84,70.81,0.06,0.1,0.27,5.27,8.5,0.39,3,0.09,0,0,0.42,0.09,3,0.09,0.11,2,0.06,25,0.75,40,12,0.03,0.09,66.67,0,0,0.06,50,0,0.06,50,0.6,25,1.14,0.48,0.09,52.63,0.57,0.09,69.12,92.99,24.43,86.33,2.65,94.32,36.44,97.44,63.64,96.08,5.39,56.98,20.75,44.93,0.03,0.12,0.03,0.03,0.03,100,0.06,7.07,76.6,0.3,50,0.36,41.67,0.27,0.06,7.16,78.15,0,,0,,0,0,0,0,,,2.05,,,0,0,0,0,0,0
R. Varane,Manchester United,Manchester United,RCB,30,40000000,2025-06-30,22,1854,0,1.71,0,0.08,10.53,59.91,France,"France, Martinique",right,191,81,no,7.62,4.03,60.24,3.64,62.67,0.05,0.06,0.78,5.15,6.72,0.49,1,0.05,0,0,0.34,0,0,0,0.08,0,0,8,0.39,50,0,0,0.05,0,0,0,0.05,0,0,0.39,37.5,0.87,44.44,0.68,0.87,0.24,30.97,0.19,0.1,45.53,89.45,16.8,77.75,4.76,100,19.47,96.51,41.07,93.62,4.42,51.65,18.71,31.04,0,0.05,0,0,0,0,0.05,5.73,73.73,0.34,57.14,0.34,42.86,0.24,0,6.26,70.54,0,,0,,0,0,0,0,,,3.11,,,0,0,0,0,0,0
B. Badiashile,Chelsea,Chelsea,LCB,22,40000000,2030-06-30,11,1008,1,0.79,0,0.08,14.55,66.26,France,"France, Congo DR",left,194,75,no,7.59,5.18,60.34,5.98,71.64,0.09,0.15,0.27,4.38,7.5,0.89,2,0.18,0,0,0.71,0.09,1,0.09,0.07,0,0,3,0.27,66.67,33.333,0,0.09,0,0.09,0,0,0,0,0.54,83.33,1.7,52.63,0.63,0.8,0.09,50.71,0.89,0.54,68.84,91.31,26.79,85.33,3.93,97.73,30.89,96.24,63.48,93.81,5.27,62.71,19.19,35.19,0.01,0.09,0,0,0.36,25,0,6.61,82.43,1.16,46.15,0.98,45.45,0.54,0,9.2,69.9,0,,0,,0,0,0,0,,,2.14,,,0,0,0,0,0,0
