Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. McNair,Middlesbrough,Middlesbrough,"RCB, RCMF",27,4500000,2024-06-30,23,1796,1,1.21,0,0.93,13.28,54.34,Northern Ireland,Northern Ireland,right,183,72,no,6.61,4.81,57.29,3.81,60.53,0.1,0.16,0.45,3.76,5.89,0.75,5,0.25,0,0,1.25,0.05,1,0.05,0.06,0,0,10,0.5,30,10,0,1.45,44.83,0.1,50,1.35,44.44,0.15,0.35,85.71,2.31,58.7,0.9,1.95,0.3,38.23,0.75,1.3,52.22,85.8,18.54,72.97,6.36,97.64,21.3,92.71,44.95,91.97,5.91,47.46,21.25,43.65,0.05,0.45,0.05,0.05,0.3,50,0.25,8.07,64.6,1.85,48.65,0.55,36.36,0.65,0.6,8.87,77.97,0,,0,,0,0,0,0,,,2.46,,,0.25,0.05,0,0.35,0,0
M. Clarke,Middlesbrough,Middlesbrough,LCB,26,4000000,2025-06-30,6,497,0,0.73,0,0,16.48,62.64,England,England,left,185,83,no,10.68,7.79,65.12,3.8,90.48,0.72,0.94,0.54,4.89,6.38,1.09,1,0.18,0,0,0.91,0,0,0,0.13,0,0,4,0.72,50,0,0,0.72,50,0.72,50,0,0,0,0.18,100,1.63,55.56,1.09,1.45,0,23.54,0.18,0.54,36.94,78.43,15.94,60.23,2.9,100,14.85,91.46,29.7,89.02,6.52,33.33,20.9,33.31,0,0,0.36,0,0.18,0,0,5.43,50,1.09,50,0.18,0,0.36,0.36,6.7,64.86,0,,0,,0,0,0,0,,,1.27,,,0,0,0,0,0,0
J. Beyer,Burnley,Burnley,"LCB, RCB",22,4000000,2026-06-30,24,2155,1,0.43,1,0.58,13.36,61.56,Germany,Germany,right,187,80,yes,7.85,4.8,66.09,4.59,55.45,0.42,0.78,0.46,4.26,7.97,0.54,4,0.17,0,0,0.75,0.04,1,0.04,0.02,1,0.04,6,0.25,33.33,16.667,0.04,0.04,0,0.04,0,0,0,0,0.79,78.95,2.3,63.64,0.33,4.09,1.25,55.09,0.21,0.84,73,93.88,15.79,83.6,6.47,95.48,44.31,97.27,69.03,95.7,3.93,62.77,20.19,39.13,0.02,0.08,0,0,0.13,33.33,0.04,4.34,79.81,0.13,0,0.25,16.67,0.08,0,5.81,63.31,0,,0,,0,0,0,0,,,4.89,,,0,0,0,0,0,0
D. O'Shea,West Bromwich Albion,West Bromwich Albion,"RCB, LCB",24,4000000,2025-06-30,37,3630,2,2.71,2,0.76,15.55,60.45,Republic of Ireland,Republic of Ireland,right,188,74,no,8.11,4.51,67.58,7.24,61.64,0.27,0.4,0.6,4.79,6.93,0.67,6,0.15,0,0,0.55,0.05,2,0.05,0.07,1,0.02,22,0.55,27.27,9.091,0.05,0.22,55.56,0,0,0.22,55.56,0,0.42,58.82,1.07,46.51,0.94,1.31,0.3,36.52,0.35,0.55,53.6,87.28,21.27,76.46,2.83,89.47,25.59,96.22,47.38,91.63,6.02,53.91,22.06,40.75,0.02,0.15,0.02,0,0.02,100,0.02,6.12,64.37,0.5,35,0.25,10,0.1,0.12,8.6,69.74,0,,0,,0,0,0,0,,,1.76,,,0,0,0,0,0,0
C. Doyle,Coventry City,Coventry City,"LCB, CB, RCB",19,4000000,2024-06-30,33,2898,0,0.81,0,0.8,16.99,56.86,England,England,left,188,85,yes,10.16,6.86,66.97,4.38,51.06,0.19,0.24,0.56,5.37,6.8,0.62,4,0.12,0,0,0.78,0,0,0,0.03,0,0,9,0.28,55.56,0,0,0.37,33.33,0.34,27.27,0.03,100,0.06,0.71,60.87,2.2,38.03,0.34,1.09,0.4,23.51,0.28,0.25,38.45,80.53,18.91,70.44,1.99,98.44,12.95,90.89,31.8,87.01,6.27,50.5,21.78,44.06,0.02,0.22,0.03,0.03,0.25,25,0.09,6.43,64.25,0.99,31.25,0.59,31.58,0.31,0.09,9.75,66.88,0,,0,,0,0,0,0,,,0.81,,,0.03,0.03,0,0,0,0
D. Lenihan,Middlesbrough,Middlesbrough,"LCB, CB",29,4000000,2026-06-30,33,3129,0,2.88,3,0.3,15.27,66.29,Republic of Ireland,Republic of Ireland,right,187,76,no,8.31,3.39,70.34,8.69,69.54,0.09,0.13,0.66,5.84,8.83,0.49,5,0.14,1,0.03,0.29,0,0,0,0.08,0,0,18,0.52,33.33,0,0.09,0.14,40,0.09,33.33,0.06,50,0,0,0,0.69,45.83,0.81,0.89,0.29,40.21,0.35,0.49,57.33,88.31,23.47,75.49,2.62,97.8,26.35,98.25,51.26,94,5.93,40.29,21.42,40.32,0.01,0.06,0.06,0.03,0.17,33.33,0.06,6.79,57.63,0.69,25,0.75,19.23,0.14,0.06,8.26,67.94,0,,0,,0,0,0,0,,,1.93,,,0,0,0,0,0,0
H. Ekdal,Burnley,Burnley,RCB,24,3500000,2027-06-30,9,825,1,0.34,0,0.27,16.58,63.82,Sweden,Sweden,right,187,80,no,7.09,5.35,63.27,4.36,70,0.11,0.22,0.33,3.6,7.12,0.87,1,0.11,0,0,0.76,0.11,1,0.11,0.04,0,0,1,0.11,100,100,0,0,0,0,0,0,0,0,0.55,60,2.51,56.52,0.44,2.95,0.11,60.55,0,1.2,76.15,90.26,26.4,80.99,5.78,94.34,37.31,96.78,70.47,94.27,5.67,40.38,20.39,39.92,0.03,0.11,0.11,0,0.65,50,0.11,8.51,76.92,0.55,40,1.09,40,0.22,0,10.36,69.47,0,,0,,0,0,0,0,,,4.36,,,0,0,0,0,0,0
S. Ajayi,West Bromwich Albion,West Bromwich Albion,RCB,29,3500000,2025-06-30,13,767,0,0.9,0,0.05,18.07,57.79,England,"England, Nigeria",right,193,83,no,7.51,5.51,70.21,7.28,58.06,0.35,0.55,0.23,3.29,5.15,0.7,2,0.23,0,0,0.7,0,0,0,0.11,0,0,7,0.82,42.86,0,0,0.47,25,0,0,0.47,25,0.12,0.23,0,1.99,41.18,0.82,1.88,0.59,34.73,0.23,0.59,49.99,89.44,15.37,73.28,3.52,100,27.69,96.61,45.65,93.83,3.87,45.45,18.74,25.23,0.01,0.23,0,0,0.23,100,0.12,5.75,69.39,1.06,44.44,0.23,50,0.35,0.12,5.63,75,0,,0,,0,0,0,0,,,2.82,,,0,0,0,0,0,0
A. Omobamidele,Norwich City,Norwich City,RCB,20,3500000,2026-06-30,27,2175,1,0.86,0,0.05,14.19,60.64,Republic of Ireland,"Republic of Ireland, Nigeria",right,190,80,no,9.27,5.13,73.39,4.01,54.64,0.37,0.63,0.58,5.13,8.69,0.5,5,0.21,0,0,0.37,0.04,1,0.04,0.04,0,0,3,0.12,33.33,33.333,0,0.04,0,0,0,0.04,0,0,0.41,70,2.03,44.9,0.37,1.37,0.17,39.27,0.25,0.87,55.32,90.65,17.71,79.44,3.72,93.33,28.06,97.2,51.72,93.84,3.56,45.35,20.31,31.36,0,0.08,0,0,0.08,50,0,4.76,77.39,0.33,37.5,0.29,28.57,0.12,0,7.32,64.97,0,,0,,0,0,0,0,,,2.69,,,0,0,0,0,0,0
W. Hoedt,Watford,Watford,LCB,29,3500000,2025-06-30,8,795,1,0.16,0,0,20.04,59.89,Netherlands,Netherlands,left,193,77,no,8.6,5.43,64.58,8.04,59.15,0.68,1.02,0.34,4.42,6.65,0.79,3,0.34,0,0,1.13,0.11,1,0.11,0.02,0,0,3,0.34,66.67,33.333,0,0.91,37.5,0.91,37.5,0,0,0,1.02,55.56,2.04,66.67,0.23,0.79,0.34,34.87,1.25,0.91,54.91,83.3,23.66,75.12,4.42,97.44,22.08,90.77,44.26,89,9.74,61.63,23.81,45.64,0,0,0,0,0.11,0,0,10.19,64.44,1.47,23.08,1.13,10,0,0.45,11.55,73.53,0,,0,,0,0,0,0,,,2.6,,,0,0,0,0,0,0
