Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Styles,Barnsley,Barnsley,"LCMF, AMF, LW",23,3500000,2025-06-30,12,937,3,2.13,1,0.38,22.19,46.32,England,"England, Hungary",left,167,60,no,7.97,7.11,67.57,3.94,21.95,0.48,0.64,0.38,2.69,3.59,1.54,5,0.48,0,0,2.31,0.29,3,0.29,0.21,1,0.1,17,1.63,41.18,17.647,0.1,0.86,0,0.86,0,0,0,0.19,2.31,62.5,7.11,44.59,2.11,1.34,0.38,24.78,1.06,1.34,33.91,85.55,7.88,67.07,9.99,98.08,7.2,82.67,31.31,91.1,1.73,27.78,14.79,25.28,0.04,0.48,0,0,0.38,50,0.1,3.07,56.25,1.25,30.77,0.58,50,0.48,0.1,3.07,65.63,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0,0,0
R. Woods,Bristol Rovers,Bristol Rovers,"DMF, RCMF, RDMF",29,1500000,2025-06-30,9,596,0,0.01,0,0.02,14.8,43.88,England,England,right,173,70,yes,8.76,6.49,58.14,2.42,18.75,0.45,0.71,0.15,4.53,7.14,1.36,1,0.15,1,0.15,0.6,0,0,0,0,0,0,2,0.3,0,0,0,0.6,50,0.45,33.33,0,0,0,0.3,100,3.78,44,0,0.91,0,42.73,0,0.45,59.95,87.91,15.4,74.51,7.85,96.15,29.45,92.82,50.89,92.28,8.46,64.29,20.89,37.4,0,0.15,0.15,0,0.3,0,0,9.51,71.43,1.81,50,0.91,0,0.76,0.3,9.06,80,0,,0,,0,0,0,0,,,1.51,,,0,0,0,0,0,0
M. Pack,Portsmouth,Portsmouth,"LDMF, RDMF, DMF",32,1200000,2024-06-30,10,996,1,0.8,1,0.66,13.92,50,England,England,right,188,76,no,7.5,5.24,56.9,3.52,51.28,0.36,0.58,0.36,4.16,6.7,0.99,2,0.18,0,0,1.36,0.09,1,0.09,0.07,0,0,13,1.17,23.08,7.692,0.09,1.17,61.54,0.54,50,0.63,71.43,0.09,0.63,57.14,2.8,45.16,0.99,0.63,0,35.51,0.36,0.9,50.06,89.35,14.91,80.61,7.05,100,21.42,91.56,46.17,91.39,2.89,68.75,18.9,39.29,0.06,0.81,0.09,0.18,0.18,0,0.09,7.59,76.19,1.9,61.9,0.27,33.33,0.63,0.63,8.31,86.96,0,,0,,0,0,0,0,,,0.99,,,0.81,0.27,0,0.63,0,0
E. Embleton,Derby County,Derby County,LCMF,24,1200000,2025-06-30,1,64,0,0,0,0.41,9.84,28.57,England,England,right,173,66,yes,5.63,7.03,40,0,0,0,0,0,2.81,3.53,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,1.41,0,21.09,0,0,28.13,80,8.44,50,8.44,100,9.84,85.71,23.91,88.24,4.22,33.33,19.84,33.41,0.58,1.41,0,0,0,0,0,2.81,50,1.41,0,1.41,0,0,0,2.81,50,0,,0,,0,0,0,0,,,1.41,,,0,0,0,4.22,0,0
A. Morley,Bolton Wanderers,Bolton Wanderers,RCMF,23,1000000,2025-06-30,13,652,2,1.48,2,0.65,10.35,42.67,England,England,right,174,72,no,5.38,5.11,51.35,1.52,27.27,0,0,0.14,2.76,4.29,0.69,1,0.14,0,0,1.79,0.28,1,0.14,0.2,0,0,13,1.79,46.15,15.385,0.28,1.24,11.11,0.41,0,0.83,16.67,0.28,1.1,50,2.62,42.11,1.1,0.97,0,33.96,0.83,0,46.79,80.83,13.53,66.33,9.25,92.54,16.98,85.37,42.93,85.53,2.62,36.84,17.39,21.75,0.09,1.38,0.14,0,0.69,40,0.55,6.76,69.39,3.59,53.85,1.1,25,1.52,0.28,7.73,71.43,0,,0,,0,0,0,0,,,0.97,,,0.69,0.14,100,1.66,1,100
T. Carroll,Exeter City,Exeter City,"RCMF, DMF, LCMF",31,1000000,,13,1181,0,0.23,1,1.35,11.13,50,England,England,left,177,66,no,6.25,4.27,60.71,1.91,40,0.3,0.47,0.23,3.35,5.12,1.07,2,0.15,0,0,1.37,0,0,0,0.02,0,0,5,0.38,0,0,0.08,1.3,52.94,0.61,50,0.61,50,0.15,0.84,63.64,2.06,37.04,0.46,0.53,0.3,46.26,0,0.53,59.29,85.6,21.26,75.27,7.24,96.84,21.49,93.26,51.74,90.43,6.33,51.81,18.28,39.36,0.1,1.07,0,0,0.61,25,0.3,10.59,69.06,2.06,59.26,1.3,17.65,0.69,0.69,8.38,81.82,0,,0,,0,0,0,0,,,0.61,,,1.07,0.08,0,1.6,0,0
H. Kane,Barnsley,Barnsley,"LCMF, RCMF",24,900000,2024-06-30,15,1523,2,1.89,2,1.83,13.41,44.93,England,England,right,177,67,no,7.33,5.32,53.33,2.36,40,0.77,1,0.06,3.72,4.86,1.3,5,0.3,0,0,1.36,0.12,1,0.06,0.11,0,0,22,1.3,31.82,9.091,0.12,0.65,36.36,0.3,0,0.35,66.67,0.06,0.95,50,3.31,39.29,0.77,0.77,0.12,40.42,0.47,0.77,55.13,87.25,15.78,69.66,9.57,96.91,21.92,93.8,48.69,91.14,5.79,60.2,19.28,39.17,0.11,0.95,0.06,0.18,0.35,66.67,0.41,8.57,73.1,1.95,54.55,1,35.29,0.89,0.24,7.74,76.34,0,,0,,0,0,0,0,,,0.83,,,0.71,0.06,0,1.42,1,100
J. Fuchs,Peterborough United,Peterborough United,"LDMF, LCMF",25,900000,2024-06-30,2,28,0,0,0,0,,,Cameroon,"Cameroon, France",right,176,70,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
A. Devine,Port Vale,Port Vale,"LCMF, RWF, AMF",19,900000,2027-06-30,12,649,2,1.82,1,0.52,12.76,39.13,England,England,right,182,75,yes,5.41,4.44,62.5,1.53,0,0.14,0.2,0.14,2.5,3.67,0.69,1,0.14,0,0,3.05,0.28,1,0.14,0.25,0,0,15,2.08,46.67,13.333,0.14,2.36,35.29,0.55,25,1.8,38.46,0.28,2.22,43.75,5.13,27.03,2.36,1.94,1.53,21.63,1.66,0.42,32.87,83.12,7.21,75,8.6,93.55,10.26,82.43,29.12,89.05,1.66,50,19.19,16.75,0.07,0.97,0,0,0.55,50,0.28,3.33,70.83,2.08,73.33,0.42,66.67,1.39,0.69,4.44,75,0,,0,,0,0,0,0,,,1.53,,,0.69,0,0,0.83,1,100
S. Carey,Blackpool,Blackpool,"LCMF, CF",22,900000,2024-06-30,17,1100,3,2.39,1,1.06,16.2,41.41,England,England,right,184,73,no,6.87,5.24,62.5,2.95,27.78,0.16,0.23,0,3.44,4.74,0.74,2,0.16,0,0,2.62,0.25,3,0.25,0.2,0,0,27,2.21,40.74,11.111,0.08,1.06,23.08,0.98,25,0.08,0,0.16,2.7,51.52,5.81,35.21,1.88,2.86,0.57,26.92,0.57,0.65,36.9,84.04,8.59,64.76,10.55,96.9,12.11,85.14,33.22,89.16,2.62,43.75,18.24,24,0.09,0.82,0.08,0,0.33,25,0.25,4.66,59.65,1.47,27.78,0.65,25,0.57,0.33,3.85,57.45,0,,0,,0,0,0,0,,,1.23,,,0.9,0,0,2.21,0,0
