Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Lowe,Salford City,Salford City,"RB, RCB",31,800000,2023-06-30,22,1884,0,0.2,0,0.91,8.41,52.84,England,England,right,183,80,no,6.5,3.77,64.56,1.72,52.78,0.38,0.63,0.14,3.68,6.08,0.33,2,0.1,0,0,0.48,0,0,0,0.01,0,0,3,0.14,33.33,0,0,0.96,40,0.05,0,0.91,42.11,0.1,0.14,33.33,0.86,27.78,0.19,1.05,0.14,38.31,1.43,0.19,49.68,87.88,19.82,79.76,6.59,95.65,17.15,94.15,43.95,92.17,4.82,57.43,19.84,39.07,0.04,0.43,0.05,0.05,0.1,0,0.24,7.17,72.67,1.39,44.83,0.33,28.57,0.43,0.38,9.17,81.25,0,,0,,0,0,0,0,,,1.67,,,0.1,0,0,0,0,0
Adam Lewis,Newport County,Newport County,"LWB, LB",23,500000,2023-06-30,21,1667,1,0.49,5,4.7,15.39,48.07,England,England,left,175,63,yes,8.85,7.72,55.24,2.32,37.21,0.54,0.79,0.22,4.05,5.94,0.92,2,0.11,0,0,2.48,0.05,1,0.05,0.03,0,0,17,0.92,35.29,5.882,0.27,3.73,36.23,3.35,33.87,0.38,57.14,0.59,1.46,48.15,3.08,43.86,0.97,1.08,0.38,17.38,1.35,0.65,28.56,61.81,12.58,51.07,3.35,88.71,9.39,66.67,17.06,76.9,7.83,40.69,24.98,36.54,0.25,1.57,0,0,0.16,66.67,0.65,6.1,43.36,4,35.14,0.81,20,0.49,1.46,8.85,67.68,0,,0,,0,0,0,0,,,0.16,,,2.11,0.22,75,2.27,0,0
M. Clark,Stevenage,Stevenage,"LWB, LB",27,500000,,28,2171,1,1.38,1,3.75,16.54,56.14,England,England,left,180,73,no,10.32,7.54,68.13,4.35,59.05,0.25,0.4,0.17,4.93,7.95,0.75,2,0.08,0,0,2.32,0.04,1,0.04,0.06,0,0,10,0.41,10,10,0.04,4.64,46.43,4.44,45.79,0.21,60,0.37,0.54,15.38,1.74,23.81,0.54,0.46,0.08,18.07,1.04,0.37,31.09,63.07,15.42,55.11,2.82,92.65,9.33,67.11,16.62,74.56,9.99,50.62,24.79,35.43,0.16,1.78,0.08,0.04,0.17,25,0.83,9,54.38,5.39,55.38,1.24,40,0.87,2.24,11.61,78.57,0,,0,,0,0,0,0,,,0.29,,,1.49,0,0,1.78,0,0
R. McKenzie,Gillingham,Gillingham,"RB, LB, RCMF",24,450000,,25,2345,1,0.86,0,0.99,19.11,57.23,England,England,right,184,75,no,10.52,6.52,64.12,6.1,64.78,0.31,0.45,0.38,6.03,8.87,0.65,0,0,0,0,1.69,0.04,1,0.04,0.03,0,0,16,0.61,18.75,6.25,0,2,21.15,0.61,37.5,1.38,13.89,0.15,1.73,64.44,3.65,44.21,1.19,0.96,0.35,9.94,0.69,0.46,22.49,60.75,11.82,52.27,2.84,81.08,4.64,69.42,15.85,71.67,4.72,39.84,21.74,36.94,0.04,0.23,0.04,0.04,0.12,33.33,0.12,4.8,51.2,1.96,29.41,0.58,40,0.38,0.42,5.6,58.9,0,,0,,0,0,0,0,,,0.58,,,0.08,0.04,0,0,0,0
C. Johnson,Mansfield Town,Mansfield Town,"RWB, RB",26,400000,2024-05-31,5,335,0,0.47,2,1.03,24.45,45.05,England,England,right,178,71,no,9.67,8.6,68.75,4.3,50,0,0,0.27,3.76,5.38,0.54,0,0,0,0,2.96,0,0,0,0.13,0,0,2,0.54,50,0,0.54,4.84,27.78,0,0,4.84,27.78,0.54,4.57,29.41,8.06,23.33,2.42,1.07,0.27,19.34,0.81,0.81,28.75,68.22,11.82,61.36,5.64,90.48,6.72,68,20.96,82.05,2.96,36.36,22.29,29.87,0.28,0.54,0,0,0.27,0,0.54,5.37,50,2.96,36.36,0.54,50,0.27,1.34,6.99,69.23,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0,0,0
R. Tumilty,Hartlepool United,Hartlepool United,"RB, RWB",25,325000,2023-05-31,18,1519,0,0.6,1,1.51,18.9,47.96,Scotland,Scotland,right,178,70,no,11.55,7.82,59.85,2.73,34.78,0.71,1.03,0.12,6.16,8.89,1.24,5,0.3,0,0,2.9,0,0,0,0.04,0,0,12,0.71,25,0,0.06,4.44,30.67,1.18,20,3.26,34.55,0.47,2.49,52.38,4.74,43.75,0.83,1.66,0.71,19.2,1.24,0.77,32.53,62.84,14.04,45.99,5.45,96.74,9.36,68.35,20.09,79.35,8.29,38.57,25.28,38.81,0.09,0.95,0,0,0.06,100,0.53,6.4,50,3.97,40.3,0.53,22.22,0.59,1.24,9.12,65.58,0,,0,,0,0,0,0,,,0.53,,,0.12,0.06,100,0,0,0
A. McGowan,Northampton Town,Northampton Town,"RB, RCB",26,325000,2025-06-30,14,1132,0,0.09,0,0.39,21.78,52.55,England,England,right,175,80,no,7.31,3.9,67.35,11.05,51.8,0.16,0.26,0.16,4.53,7.43,0.72,3,0.24,1,0.08,1.59,0,0,0,0.01,0,0,4,0.32,0,0,0,2.94,37.84,0.08,100,2.86,36.11,0.4,0.72,66.67,2.31,55.17,0.16,0.64,0.4,18.29,1.99,1.43,30.93,63.5,14.95,51.6,3.74,91.49,8.19,66.99,20.51,76.36,8.03,38.61,23,36.48,0.03,0.48,0,0,0.16,0,0.32,7,45.45,3.9,36.73,0.95,25,0.72,0.87,9.86,70.16,0,,0,,0,0,0,0,,,0.4,,,0.08,0,0,0,0,0
M. Lavinier,Swindon Town,Swindon Town,"LB, RB",22,300000,,15,1015,2,0.97,0,0.64,26.87,44.55,England,"England, Portugal",right,180,70,no,9.4,7.8,53.41,3.9,52.27,0.27,0.55,0.27,4.97,10.18,1.06,2,0.18,0,0,3.81,0.18,2,0.18,0.09,0,0,17,1.51,41.18,11.765,0,2.66,26.67,1.24,21.43,1.42,31.25,0.35,5.05,45.61,10.91,42.28,1.68,4.52,1.95,31.03,1.42,1.06,45.58,77.43,14.54,59.76,9.31,91.43,14.72,85.54,36.71,85.27,6.21,52.86,19.64,23.94,0.06,0.71,0,0,0.62,28.57,0.44,6.12,56.52,2.93,36.36,1.15,23.08,0.53,0.8,7.8,64.77,0,,0,,0,0,0,0,,,0.62,,,0,0,0,0,0,0
C. Gunter,AFC Wimbledon,AFC Wimbledon,"RB, RWB, RCB",33,300000,2023-06-30,28,2464,0,0.57,1,1.16,13.11,48.47,Wales,Wales,right,180,71,no,7.01,5.52,60.26,3.51,36.46,0.07,0.12,0.26,3.62,5.73,0.58,3,0.11,1,0.04,1.13,0,0,0,0.02,0,0,5,0.18,20,0,0.04,2.08,36.84,0.11,66.67,1.94,35.85,0.18,0.69,47.37,1.79,42.86,0.44,0.47,0.22,18.04,0.62,1.02,27.91,75,13.04,68.91,4.09,94.64,7.49,73.66,19.32,86.2,6.65,53.3,21.43,34.69,0.04,0.22,0.04,0.04,0,0,0.15,5.7,64.1,2.05,51.79,0.22,50,0.44,0.91,8.66,78.06,0,,0,,0,0,0,0,,,0.8,,,0.04,0,0,0,0,0
J. Maxwell,Doncaster Rovers,Doncaster Rovers,"LWB, LB",21,275000,2024-06-30,28,2456,2,1.38,1,2.28,23.16,51.9,England,"England, Scotland",left,179,68,no,10.66,8.39,64.63,5.24,41.96,0.4,0.57,0.04,4.84,6.79,0.77,4,0.15,0,0,2.2,0.07,2,0.07,0.05,0,0,16,0.59,18.75,12.5,0.04,1.54,23.81,1.47,22.5,0.04,0,0.18,2.68,64.38,5.75,48.41,1.69,1.94,1.1,19.53,0.95,1.03,31.04,68.12,13.05,54.21,5.79,88.61,7.11,76.29,25.58,74.93,3.99,40.37,18.19,32.41,0.08,0.59,0,0,0.22,0,0.44,4.29,49.57,1.91,42.31,0.44,16.67,0.84,0.48,7.29,55.78,0,,0,,0,0,0,0,,,0.26,,,0.04,0,0,0,0,0
L. Hendrie,Bradford City,Bradford City,RB,28,250000,2023-06-30,1,101,1,0.22,0,0.37,19.6,45.45,England,"England, Scotland",right,187,72,no,8.02,6.24,57.14,9.8,54.55,0,0,0,4.46,8.33,0.89,1,0.89,0,0,2.67,0.89,1,0.89,0.2,0,0,1,0.89,100,100,0,2.67,66.67,0,0,2.67,66.67,0,0.89,0,1.78,0,0.89,1.78,0,23.17,0,0,34.75,66.67,19.6,54.55,7.13,87.5,5.35,83.33,23.17,84.62,8.91,20,23.17,31.57,0.33,1.78,0,0,0,0,0.89,5.35,50,0.89,100,0.89,0,0,1.78,12.48,42.86,0,,0,,0,0,0,0,,,0.89,,,0.89,0.89,100,0,0,0
A. White,Rochdale,Rochdale,"LB, LWB",31,250000,2023-06-30,12,843,0,0.05,1,0.62,20.6,51.3,England,"England, Republic of Ireland",left,175,61,no,7.69,5.87,54.55,6.83,48.44,0.32,0.47,0.11,4.16,6.09,0.96,2,0.21,0,0,2.56,0,0,0,0.01,0,0,2,0.21,0,0,0.11,2.03,47.37,2.03,47.37,0,0,0.21,1.81,88.24,4.06,60.53,0.64,1.07,0.64,16.65,0.64,0.85,29.47,69.93,13.45,56.35,3.95,94.59,8.11,82.89,21.03,81.22,6.73,39.68,22.63,36,0.07,0.75,0,0,0,0,0.43,5.44,41.18,2.03,57.89,0,0,0.64,0.75,7.15,62.69,0,,0,,0,0,0,0,,,0.96,,,0,0,0,0.32,0,0
K. Ramsay,Harrogate Town,Harrogate Town,"RB, RWB",22,250000,2023-06-30,24,2310,0,0.84,0,1.16,22.87,52.64,England,England,right,184,66,no,9.39,7.01,72.22,5.96,51.63,0.9,1.32,0.31,3.43,5.06,0.78,6,0.23,0,0,1.95,0,0,0,0.03,0,0,10,0.39,10,0,0,1.44,27.03,0,0,1.44,27.03,0.16,2.42,59.68,6.62,40.59,0.39,1.95,1.52,21,0.9,0.58,32.69,73.06,12.51,57.94,6.16,93.67,8.92,75.11,26.03,81.89,5.38,40.58,20.28,39.26,0.05,0.31,0.04,0,0.27,28.57,0.12,5.18,48.12,1.71,43.18,0.47,33.33,0.27,0.39,6.66,67.84,0,,0,,0,0,0,0,,,0.74,,,0.19,0,0,0,0,0
