Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. John-Jules,Ipswich Town,Doncaster Rovers,CF,22,800000,2023-05-31,18,1249,5,4.39,3,1.38,25.36,30.68,England,"England, Dominica",right,183,75,yes,3.89,3.53,51.02,4.54,28.57,0.07,0.1,0,2.02,2.76,2.23,0,0,0,0,3.24,0.36,5,0.36,0.32,0,0,35,2.52,45.71,14.286,0.22,0.86,33.33,0.07,100,0.79,27.27,0.22,3.1,44.19,11.31,33.76,3.96,1.22,0.65,13.69,1.37,1.95,18.01,76.4,3.96,60,5.04,94.29,5.33,72.97,16.57,80.43,0.72,30,16.43,19.54,0.1,0.79,0.07,0,0.5,85.71,0.5,1.95,51.85,1.3,66.67,0.43,66.67,1.3,0.29,1.87,76.92,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
L. Jephcott,Swindon Town,Plymouth Argyle,CF,22,700000,2023-06-30,41,2777,16,14.27,1,1.45,17.34,30.09,England,"England, Wales",right,177,75,yes,3.44,2.07,64.06,3.73,19.13,0.06,0.09,0.1,2.04,2.7,0.45,1,0.03,0,0,2.04,0.52,14,0.45,0.46,2,0.06,64,2.07,53.13,25,0.03,0.68,23.81,0.29,22.22,0.39,25,0.1,1.36,45.24,7.49,32.03,3.99,0.45,0.32,10.24,1.52,1.52,16.63,78.95,3.56,56.36,6.09,93.09,3.44,79.25,15.39,82.74,0.55,41.18,14.62,9.13,0.05,0.68,0.03,0,0.49,33.33,0.36,1.39,62.79,1.33,53.66,0.45,35.71,0.84,0.16,1.62,62,0,,0,,0,0,0,0,,,0,,,0.03,0.03,0,0,2,100
D. Charles,Bolton Wanderers,Accrington Stanley,CF,27,700000,2025-06-30,42,3961,19,16.98,3,1.93,26.77,36.25,England,"England, Northern Ireland",right,178,67,no,4.84,5.66,54.22,2.36,16.35,0.09,0.13,0.09,1.68,2.35,1.98,2,0.05,1,0.02,4.09,0.43,17,0.39,0.39,2,0.05,105,2.39,40,18.095,0.07,1.23,27.78,0.43,21.05,0.77,32.35,0.2,5.5,47.93,12.88,37.21,3.66,1.3,0.75,9.32,1.66,2.2,12.54,68.48,3.34,63.27,3.02,87.97,3.82,67.86,10.41,75.98,0.91,37.5,18.17,23.95,0.04,0.36,0,0.02,0.41,38.89,0.18,1.66,58.9,1,52.27,0.41,38.89,0.48,0.34,1.8,72.15,0,,0,,0,0,0,0,,,0.05,,,0.05,0.05,50,0,2,100
S. Humphrys,Hearts,Rochdale,CF,25,700000,2024-06-30,29,2323,11,10.68,3,1.4,28.67,38.51,England,England,right,185,69,yes,3.37,3.33,52.33,8.17,36.02,0.12,0.15,0.04,1.51,1.99,1.51,3,0.12,0,0,4.84,0.43,10,0.39,0.41,2,0.08,88,3.41,32.95,12.5,0.12,0.7,27.78,0.43,18.18,0.23,50,0.15,5.54,62.24,12.67,40.98,3.53,1.67,1.05,6.59,1.74,0.7,12.55,82.1,2.13,65.45,4.18,96.3,3.49,78.89,11.55,85.57,0.43,72.73,16.73,12.13,0.05,0.43,0.04,0,0.31,25,0.15,0.77,65,0.7,50,0.27,28.57,0.66,0.15,0.93,70.83,0,,0,,0,0,0,0,,,0,,,0.35,0.35,44.44,0.04,1,100
C. Washington,Rotherham United,Charlton Athletic,CF,30,700000,2024-06-30,36,2442,11,10.7,2,1.64,21.82,29.9,Northern Ireland,Northern Ireland,right,178,74,no,2.62,3.21,45.98,4.46,11.57,0.04,0.05,0.04,1.11,1.6,0.88,0,0,0,0,2.69,0.41,8,0.29,0.39,1,0.04,44,1.62,43.18,25,0.07,1.44,25.64,0.74,20,0.7,31.58,0.18,3.1,46.43,9.25,32.27,3.8,0.52,0.55,10.87,2.51,0.88,17.14,76.77,3.13,63.53,5.2,90.07,4.39,69.75,14.93,82.96,0.77,52.38,15.36,16.56,0.06,0.59,0.07,0.04,0.41,45.45,0.22,1.4,57.89,1.58,65.12,0.33,55.56,0.88,0.41,2.4,73.85,0,,0,,0,0,0,0,,,0,,,0,0,0,0,4,75
M. Eisa,Milton Keynes Dons,Peterborough United,"CF, AMF",28,600000,2023-06-30,27,887,2,3.5,1,0.9,19.68,33.51,Sudan,"Sudan, England",right,183,71,no,2.64,3.45,38.24,2.23,18.18,0,0,0.1,1.32,1.96,1.32,0,0,0,0,3.86,0.2,2,0.2,0.36,0,0,29,2.94,55.17,6.897,0.1,0.61,33.33,0.2,50,0.41,25,0.41,3.04,60,10.35,38.24,3.35,0.61,0.61,13.09,1.62,1.83,15.93,85.99,2.84,78.57,4.97,91.84,4.46,86.36,15.02,87.84,0.3,100,12.9,4.78,0.09,0.71,0.1,0,0.3,66.67,0.41,1.12,63.64,1.22,75,0.3,66.67,0.91,0.2,1.52,80,0,,0,,0,0,0,0,,,0,,,0.1,0.1,100,0.2,0,0
A. O'Brien,Gillingham,Sunderland,"CF, AMF",29,600000,2024-06-30,33,2048,4,5.71,1,1.63,22.46,34.83,England,"England, Republic of Ireland",right,180,72,yes,4.53,4.22,53.13,5.58,37.8,0.09,0.15,0.13,2.2,3.67,1.23,3,0.13,0,0,1.89,0.18,4,0.18,0.25,2,0.09,39,1.71,41.03,10.256,0.04,0.75,29.41,0.4,22.22,0.31,28.57,0.04,2.55,34.48,8.26,24.47,3.56,0.53,0.44,14.19,1.85,1.14,21.05,81.63,3.25,70.27,6.59,91.33,5.89,85.82,19.91,84.11,0.44,50,15.31,12.26,0.07,0.4,0.09,0.04,0.4,22.22,0.22,1.71,71.79,0.88,40,0.4,22.22,0.53,0.22,1.41,65.63,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0.04,0,0
O. Bogle,Newport County,Doncaster Rovers,CF,29,600000,2024-06-30,34,2356,4,8.51,1,1.28,31.48,33.01,England,"England, Ghana",left,185,80,no,3.09,3.06,57.5,6.38,34.73,0.08,0.11,0.15,1.26,1.85,1.18,1,0.04,0,0,2.56,0.15,3,0.11,0.33,1,0.04,52,1.99,28.85,7.692,0.04,0.34,55.56,0.19,40,0.15,75,0.04,3.36,47.73,14.78,29.2,3.25,0.84,0.34,10.08,2.37,2.6,15.09,78.23,3.25,62.35,4.2,89.09,3.86,82.18,14.06,79.89,0.73,57.89,15.24,17.21,0.05,0.42,0,0.04,0.5,38.46,0.19,1.26,48.48,0.88,56.52,0.5,30.77,0.73,0.19,1.38,66.67,0,,0,,0,0,0,0,,,0,,,0.15,0.15,0,0,1,100
M. Taylor,Port Vale,Oxford United,CF,32,600000,2023-05-31,48,3625,19,15,5,3.54,28.9,29.81,England,England,right,176,72,yes,3.65,3.2,52.71,8.76,28.9,0.2,0.32,0.37,1.76,2.86,2.14,8,0.2,0,0,2.14,0.47,19,0.47,0.37,4,0.1,70,1.74,52.86,27.143,0.12,0.57,39.13,0.32,53.85,0.22,22.22,0.1,1.61,49.23,8.32,28.66,3.5,0.52,0.15,8.89,1.89,1.74,15.77,71.65,3.1,55.2,4.87,85.71,4.07,73.17,14.45,74.4,0.77,45.16,13.93,17.43,0.09,0.77,0.1,0.02,0.25,80,0.42,1.69,55.88,1.02,60.98,0.1,75,0.79,0.25,1.66,64.18,0,,0,,0,0,0,0,,,0.02,,,0,0,0,0.02,0,0
W. Grigg,Milton Keynes Dons,Milton Keynes Dons,CF,31,600000,,29,1725,8,8.62,3,2.21,18.47,28.25,England,"England, Northern Ireland",right,180,70,no,2.56,2.71,50,3.91,21.33,0.05,0.1,0.05,1.15,2.17,1.2,0,0,0,0,1.57,0.42,8,0.42,0.45,0,0,37,1.93,45.95,21.622,0.16,0.42,25,0.21,25,0.21,25,0.1,1.15,45.45,7.41,22.54,3.97,0.21,0.05,11.9,1.36,0.63,17.95,80.81,2.97,52.63,6.31,90.91,4.28,82.93,17.11,82.93,0.47,44.44,13.7,10.45,0.12,0.68,0,0.1,0.42,12.5,0.31,1.25,58.33,0.63,41.67,0.42,12.5,0.52,0.16,1.67,46.88,0,,0,,0,0,0,0,,,0.1,,,0.05,0.05,0,0,0,0
