Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rúben Dias,Manchester City,Manchester City,"LCB, RCB",25,75000000,2027-06-30,32,3012,1,1.12,0,0.16,9.59,62.62,Portugal,Portugal,right,187,82,no,6.99,3.82,64.06,3.35,63.39,0.27,0.4,0.81,4.27,6.36,0.63,4,0.12,0,0,0.42,0.03,1,0.03,0.03,1,0.03,8,0.24,50,12.5,0,0.06,50,0,0,0.06,50,0,0.24,87.5,1.31,54.55,0.78,2.12,0.06,63.71,0.54,0.6,77.18,94.19,24.35,88.22,3.62,94.21,42.25,97.88,72.04,96.43,5.08,62.94,20.18,36.17,0,0.06,0,0,0.09,66.67,0.06,8.78,84.69,0.39,69.23,0.27,44.44,0.27,0.03,10.19,82.4,0,,0,,0,0,0,0,,,2.72,,,0,0,0,0,0,0
W. Fofana,Chelsea,Leicester City,"RCB, CB",22,65000000,2029-06-30,28,2412,0,1.55,0,0.36,18.51,60.48,France,"France, Côte d'Ivoire",right,186,76,no,11.34,7.31,67.35,6.68,57.54,0.26,0.35,0.6,6.16,8.33,1.42,7,0.26,0,0,0.41,0,0,0,0.06,0,0,10,0.37,20,0,0,0.07,0,0,0,0.07,0,0,0.67,50,2.54,54.41,0.82,2.2,0.49,43.43,0.49,1.16,58.47,88.77,19.37,75.92,4.07,96.33,28.81,95.73,53.73,92.57,4.66,46.4,20.18,36.63,0.01,0.19,0.04,0,0.04,0,0.04,6.68,73.18,0.3,12.5,0.22,16.67,0.07,0,8.84,69.2,0,,0,,0,0,0,0,,,2.09,,,0,0,0,0,0,0
F. Tomori,Milan,Chelsea,RCB,25,50000000,2027-06-30,1,49,0,0,0,0,5.51,66.67,Canada,"Canada, England",right,185,79,no,20.2,5.51,66.67,0,0,0,0,3.67,16.53,12.86,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.73,0,0,60.61,87.88,23.88,76.92,0,0,29.39,100,51.43,96.43,9.18,40,19.1,25.68,0,0,0,0,0,0,0,1.84,100,0,0,0,0,0,0,3.67,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
V. van Dijk,Liverpool,Liverpool,LCB,31,50000000,2025-06-30,5,395,1,0.34,0,0,9.11,65,Netherlands,"Netherlands, Suriname",right,193,92,no,5.47,2.51,45.45,5.47,66.67,0.23,0.33,0.23,4.1,5.93,0.91,1,0.23,0,0,0.46,0.23,1,0.23,0.08,1,0.23,3,0.68,66.67,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,59.01,1.37,0.46,71.09,92.63,23.92,83.81,4.33,100,37.82,96.99,62.2,97.8,8.89,56.41,29.78,48.53,0,0,0,0,0,0,0,8.89,66.67,0.46,0,0.91,0,0,0,9.8,90.7,0,,0,,0,0,0,0,,,3.87,,,0,0,0,0,0,0
Gabriel Magalhaes,Arsenal,Arsenal,"LCB, CB",25,50000000,2027-06-30,23,2154,2,1.11,0,0.26,13.79,57.58,Brazil,Brazil,left,190,87,no,8.4,4.97,63.03,4.68,54.46,0.33,0.43,0.75,4.93,6.36,1,3,0.13,1,0.04,0.5,0.08,2,0.08,0.05,2,0.08,11,0.46,36.36,18.182,0,0.08,100,0.08,100,0,0,0,0.46,54.55,2.3,50.91,0.67,1.25,0.29,48.72,0.21,1.04,61,88.29,24.03,76,2.88,97.1,27.91,96.71,54.23,93.22,6.73,48.45,20.5,37.97,0.01,0.08,0,0,0.13,0,0.04,6.02,63.89,0.67,18.75,0.67,6.25,0.08,0.08,8.69,62.98,0,,0,,0,0,0,0,,,2.01,,,0,0,0,0,0,0
B. White,Arsenal,Brighton,"RCB, RCMF",25,50000000,2026-06-30,36,3407,0,1.29,0,0.74,13.13,58.35,England,England,right,185,77,no,9.19,6.55,71.37,2.8,50.94,0.29,0.37,0.53,4.23,5.44,0.77,4,0.11,1,0.03,0.79,0,0,0,0.03,0,0,11,0.29,9.09,0,0,0.74,7.14,0.05,0,0.69,7.69,0.11,1.03,51.28,2.19,42.17,0.55,1.08,0.61,32.31,0.48,0.26,44.06,85.91,17.3,73.89,5.44,98.06,16.09,93.6,38.57,92.26,4.78,46.41,20.1,40.35,0.02,0.21,0.03,0,0.29,63.64,0.08,5.71,65.28,1.53,32.76,0.92,34.29,0.5,0.08,6.58,70.28,0,,0,,0,0,0,0,,,2.35,,,0,0,0,0,0,0
A. Rüdiger,Real Madrid,Chelsea,LCB,30,40000000,2026-06-30,19,1828,1,1.05,0,0.18,13.44,55.68,Germany,"Germany, Sierra Leone",right,190,86,no,7.14,5.61,62.28,4.04,53.66,0.15,0.23,0.49,3.5,5.55,0.79,0,0,0,0,0.54,0.05,1,0.05,0.05,0,0,12,0.59,41.67,8.333,0,0.15,33.33,0.15,33.33,0,0,0,0.44,55.56,1.72,48.57,0.79,1.77,0.89,56.77,0.49,0.54,71.59,91.82,24.03,81.35,4.53,96.74,35.01,97.61,64.84,95.29,6.6,58.96,20.41,39.92,0.01,0.1,0,0.05,0.1,0,0.05,8.91,81.22,0.69,57.14,0.59,33.33,0.34,0.05,9.55,74.74,0,,0,,0,0,0,0,,,2.26,,,0,0,0,0,0,0
A. Laporte,Manchester City,Manchester City,LCB,28,38000000,2025-06-30,16,1421,0,1.14,0,0.08,10.7,59.17,France,"France, Spain",left,191,85,no,5.07,3.29,57.69,4.62,63.01,0.06,0.1,0.44,3.1,4.67,0.57,1,0.06,0,0,0.19,0,0,0,0.07,0,0,6,0.38,16.67,0,0,0.06,0,0.06,0,0,0,0,0.25,25,1.27,35,0.44,2.47,0.06,63.15,0.95,0.51,76.26,93.19,28.94,87.31,6.33,97,32.93,97.31,71.76,95.32,4.43,60,20.27,40.56,0.01,0.06,0.06,0.06,0.25,25,0,9.63,83.55,0.76,25,0.63,20,0.19,0,11.72,85.41,0,,0,,0,0,0,0,,,3.61,,,0,0,0,0,0,0
N. Aké,Manchester City,Manchester City,"LCB, RCB",28,35000000,2025-06-30,10,857,1,0.36,0,0,11.13,66.04,Netherlands,"Netherlands, Côte d'Ivoire",left,180,75,no,7.77,4.94,65.96,4.62,72.73,0.63,1.13,0.32,3.89,6.94,0.84,3,0.32,0,0,0.11,0.11,1,0.11,0.04,1,0.11,2,0.21,50,50,0,0.11,0,0.11,0,0,0,0,0.21,0,0.74,42.86,0.42,1.37,0.42,62.59,1.68,0.42,74.35,94.77,26.36,87.65,4.62,97.73,30.56,98.97,71.2,97.05,3.05,44.83,16.61,26.97,0,0,0,0,0,0,0,10.92,86.54,0.53,40,0.42,0,0.21,0,9.66,90.22,0,,0,,0,0,0,0,,,1.47,,,0,0,0,0,0,0
J. Andersen,Crystal Palace,Fulham,"RCB, CB",26,32000000,2026-06-30,31,2926,1,0.97,1,0.58,12.83,61.39,Denmark,Denmark,right,192,87,no,9.01,4.28,56.83,5.04,65.24,0.52,0.65,0.4,6.06,7.49,1.2,7,0.22,1,0.03,0.34,0.03,1,0.03,0.03,0,0,10,0.31,30,10,0.03,0.31,10,0.06,0,0.25,12.5,0,0.25,87.5,1.48,45.83,0.62,0.71,0.15,38.08,0.22,0.46,55.98,84.89,21.38,70.79,2.98,94.85,27.62,94.99,46.05,91.78,9.63,54.31,24.2,43.75,0.02,0.18,0.03,0.03,0.03,0,0.06,8.74,59.51,1.02,18.18,0.62,25,0.18,0.06,10.49,68.62,0,,0,,0,0,0,0,,,1.85,,,0.03,0.03,0,0,0,0
J. Stones,Manchester City,Manchester City,RCB,28,30000000,2026-06-30,22,2050,4,1.61,0,0.2,9.26,63.98,England,England,right,188,76,no,6.54,3.25,68.92,3.03,68.12,0.13,0.19,0.53,4.17,6.13,0.35,0,0,1,0.04,0.66,0.18,4,0.18,0.07,1,0.04,11,0.48,45.45,36.364,0,0.04,0,0,0,0.04,0,0,0.66,53.33,2.02,63.04,0.57,3.25,0.44,60.54,0.97,0.53,74.06,94.96,24.45,90.84,4.96,97.35,34.2,97.95,70.6,96.58,3.42,62.82,18.32,34.01,0.01,0.09,0.09,0,0.09,100,0.04,7.95,89.5,0.35,50,0.22,80,0.35,0,7.38,78.57,0,,0,,0,0,0,0,,,2.55,,,0,0,0,0,0,0
J. Gomez,Liverpool,Liverpool,"LCB, RCB",25,30000000,2027-06-30,7,636,0,0,0,0,15.14,58.88,England,"England, Gambia",right,188,77,no,7.64,5.24,64.86,6.08,55.81,0,0,0.14,4.25,6.34,0.71,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,66.67,2.41,52.94,0,0.42,0.42,50.66,0.28,0.85,72.03,91.94,23.92,78.11,3.68,96.15,39.62,99.29,62.83,96.4,9.2,61.54,22.66,44.99,0,0,0,0,0,0,0,6.37,71.11,0.42,0,0.57,0,0,0,9.34,69.7,0,,0,,0,0,0,0,,,2.41,,,0,0,0,0,0,0
